statement	score	confidence	gemini_2_5_flash
6-Mercaptopurine	3	not classifiable	carcinogenic to humans
Ethylene	3	not classifiable	not classifiable
Methyl iodide	3	not classifiable	possibly carcinogenic
Nodularins	3	not classifiable	probably carcinogenic
Clomiphene citrate	3	not classifiable	probably carcinogenic
Actinomycin D	3	not classifiable	carcinogenic to humans
Methyl bromide	3	not classifiable	not classifiable
Isosafrole	3	not classifiable	possibly carcinogenic
Reserpine	3	not classifiable	possibly carcinogenic
Kojic acid	3	not classifiable	not classifiable
Methyl chloride	3	not classifiable	not classifiable
5-Methylangelicin plus ultraviolet A radiation	3	not classifiable	possibly carcinogenic
2,4,6-Trinitrotoluene	3	not classifiable	possibly carcinogenic
4-Amino-2-nitrophenol	3	not classifiable	not classifiable
2-Amino-5-nitrothiazole	3	not classifiable	not classifiable
Vitamin K substances	3	not classifiable	not classifiable
Pronetalol hydrochloride	3	not classifiable	PARSE_FAIL
Bromoethane	3	not classifiable	probably carcinogenic
2-Amino-5-nitrophenol	3	not classifiable	not classifiable
5-Fluorouracil	3	not classifiable	not classifiable
Mercury and inorganic mercury compounds	3	not classifiable	not classifiable
Sulfur dioxide	3	not classifiable	not classifiable
Piperonyl butoxide	3	not classifiable	not classifiable
N,N-Dimethylaniline	3	not classifiable	not classifiable
3-Chloronitrobenzene	3	not classifiable	not classifiable
Chlorobenzilate	3	not classifiable	not classifiable
Zineb	3	not classifiable	not classifiable
Chromium, metallic	3	not classifiable	not classifiable
Palygorskite (Attapulgite)(short fibres, < 5 micrometres)	3	not classifiable	not classifiable
Glycidyl stearate	3	not classifiable	possibly carcinogenic
2,4,6-Tris(1-aziridinyl)-s-triazine	3	not classifiable	carcinogenic to humans
4-Chloro-meta-phenylenediamine	3	not classifiable	possibly carcinogenic
Aurothioglucose	3	not classifiable	not classifiable
Chloroethane	3	not classifiable	possibly carcinogenic
Chlorodifluoromethane	3	not classifiable	not classifiable
Light Green SF	3	not classifiable	not classifiable
Simazine	3	not classifiable	possibly carcinogenic
