statement	score	confidence	gemini_2_5_flash
Ethylene	3	not classifiable	not classifiable
2-Aminoanthraquinone	3	not classifiable	possibly carcinogenic
Coumarin	3	not classifiable	not classifiable
Methyl bromide	3	not classifiable	not classifiable
Methylene blue	3	not classifiable	not classifiable
Sulfamethoxazole	3	not classifiable	not classifiable
Anthranilic acid	3	not classifiable	not classifiable
Isosafrole	3	not classifiable	possibly carcinogenic
Nodularins	3	not classifiable	possibly carcinogenic
4-Amino-2-nitrophenol	3	not classifiable	not classifiable
3,3'-Dimethoxybenzidine-4,4'-diisocyanate	3	not classifiable	possibly carcinogenic
Polymethylene polyphenyl isocyanate	3	not classifiable	not classifiable
2,4,6-Trinitrotoluene	3	not classifiable	not classifiable
Polymethyl methacrylate	3	not classifiable	not classifiable
4,4',6-Trimethylangelicin plus ultraviolet A radiation	3	not classifiable	probably carcinogenic
Methyl chloride	3	not classifiable	not classifiable
Methyl iodide	3	not classifiable	not classifiable
5-Methylangelicin plus ultraviolet A radiation	3	not classifiable	carcinogenic to humans
Mercury and inorganic mercury compounds	3	not classifiable	not classifiable
Benzoyl peroxide	3	not classifiable	not classifiable
2-Amino-5-nitrothiazole	3	not classifiable	possibly carcinogenic
Vitamin K substances	3	not classifiable	not classifiable
Bromoethane	3	not classifiable	probably carcinogenic
3-Chloronitrobenzene	3	not classifiable	not classifiable
2,4-Xylidine	3	not classifiable	possibly carcinogenic
N,N-Dimethylaniline	3	not classifiable	not classifiable
4-Nitrobiphenyl	3	not classifiable	probably carcinogenic
Sulfur dioxide	3	not classifiable	not classifiable
ortho-Dichlorobenzene	3	not classifiable	not classifiable
Amaranth	3	not classifiable	not classifiable
Aurothioglucose	3	not classifiable	not classifiable
Chloroethane	3	not classifiable	not classifiable
Chromium, metallic	3	not classifiable	not classifiable
2,5-Xylidine	3	not classifiable	possibly carcinogenic
Zineb	3	not classifiable	not classifiable
Glycidyl stearate	3	not classifiable	possibly carcinogenic
Vinylidene fluoride	3	not classifiable	not classifiable
2-Amino-5-nitrophenol	3	not classifiable	not classifiable
2,5-Diaminotoluene	3	not classifiable	possibly carcinogenic
Simazine	3	not classifiable	possibly carcinogenic
5-Chloro-ortho-toluidine	3	not classifiable	possibly carcinogenic
Palygorskite (Attapulgite)(short fibres, < 5 micrometres)	3	not classifiable	not classifiable
Bromoform	3	not classifiable	possibly carcinogenic
Ethylenethiourea	3	not classifiable	possibly carcinogenic
gamma-Butyrolactone	3	not classifiable	not classifiable
Furfural	3	not classifiable	not classifiable
tert-Butyl alcohol	3	not classifiable	possibly carcinogenic
Propham	3	not classifiable	not classifiable
Chlorodifluoromethane	3	not classifiable	not classifiable
Rosiglitazone	3	not classifiable	possibly carcinogenic
Disulfiram	3	not classifiable	possibly carcinogenic
Maleic hydrazide	3	not classifiable	possibly carcinogenic
Eugenol	3	not classifiable	not classifiable
Chlorodibromomethane	3	not classifiable	possibly carcinogenic
Hydroquinone	3	not classifiable	not classifiable
Dichloroacetylene	3	not classifiable	possibly carcinogenic
Nitrotoluenes	3	not classifiable	possibly carcinogenic
1,2-Diamino-4-nitrobenzene	3	not classifiable	not classifiable
Hydrogen peroxide	3	not classifiable	not classifiable
Rhodamine 6G	3	not classifiable	not classifiable
Pentachloroethane	3	not classifiable	possibly carcinogenic
Maneb	3	not classifiable	not classifiable
Hydroxyurea	3	not classifiable	probably carcinogenic
5-Nitro-ortho-toluidine	3	not classifiable	possibly carcinogenic
Sulfafurazole (Sulfisoxazole)	3	not classifiable	not classifiable
2-Chloro-1,1,1-trifluoroethane	3	not classifiable	not classifiable
5-Nitro-ortho-anisidine	3	not classifiable	possibly carcinogenic
Sodium chlorite	3	not classifiable	i don't know
Silica, amorphous	3	not classifiable	not classifiable
2-Amino-4-nitrophenol	3	not classifiable	possibly carcinogenic
Butylated hydroxytoluene (BHT)	3	not classifiable	not classifiable
tert-Amyl methyl ether	3	not classifiable	possibly carcinogenic
Selenium and selenium compounds	3	not classifiable	not classifiable
Acrylic acid	3	not classifiable	not classifiable
Vat Yellow 4	3	not classifiable	not classifiable
N-Methyl-N,4-dinitrosoaniline	3	not classifiable	possibly carcinogenic
Methylglyoxal	3	not classifiable	possibly carcinogenic
Oxyphenbutazone	3	not classifiable	possibly carcinogenic
1,1,2-Trichloroethane	3	not classifiable	not classifiable
2-Nitropyrene	3	not classifiable	possibly carcinogenic
Trichloroethylene	1	carcinogenic to humans	carcinogenic to humans
Medphalan	3	not classifiable	carcinogenic to humans
Cyclochlorotine	3	not classifiable	possibly carcinogenic
Blue VRS	3	not classifiable	i don't know
Dihydroxymethylfuratrizine (see also Panfuran S)	3	not classifiable	not classifiable
Creosotes	2A	probably carcinogenic	probably carcinogenic
Potassium bromate	2B	possibly carcinogenic	possibly carcinogenic
Acid mists, strong inorganic	1	carcinogenic to humans	carcinogenic to humans
Acheson process, occupational exposure associated with	1	carcinogenic to humans	carcinogenic to humans
Alcoholic beverages	1	carcinogenic to humans	carcinogenic to humans
Coal-tar distillation	1	carcinogenic to humans	carcinogenic to humans
Isoprene	2B	possibly carcinogenic	possibly carcinogenic
Isophorone	2B	possibly carcinogenic	possibly carcinogenic
Phenyl glycidyl ether	2B	possibly carcinogenic	possibly carcinogenic
β-Myrcene	2B	possibly carcinogenic	possibly carcinogenic
2-Nitrotoluene	2A	probably carcinogenic	possibly carcinogenic
1,2-Diphenylhydrazine	2B	possibly carcinogenic	possibly carcinogenic
Hydrochloric acid	3	not classifiable	not classifiable
Cobalt(II,III) oxide	3	not classifiable	possibly carcinogenic
Aluminium production	1	carcinogenic to humans	carcinogenic to humans
Pentachlorophenol (see also Polychlorophenols)	1	carcinogenic to humans	possibly carcinogenic
2-Naphthylamine	1	carcinogenic to humans	carcinogenic to humans
ortho-Anisidine (see also ortho-Anisidine hydrochloride)	2A	probably carcinogenic	possibly carcinogenic
1,4-Dioxane	2B	possibly carcinogenic	possibly carcinogenic
ortho-Nitroanisole	2A	probably carcinogenic	possibly carcinogenic
4-Aminobiphenyl	1	carcinogenic to humans	carcinogenic to humans
Dichloroacetic acid	2B	possibly carcinogenic	possibly carcinogenic
Areca nut	1	carcinogenic to humans	carcinogenic to humans
1,1,2,2-Tetrachloroethane	2B	possibly carcinogenic	not classifiable
Benzidine	1	carcinogenic to humans	carcinogenic to humans
Engine exhaust, diesel	1	carcinogenic to humans	carcinogenic to humans
2-Nitropropane	2B	possibly carcinogenic	possibly carcinogenic
Methyleugenol	2A	probably carcinogenic	possibly carcinogenic
N-Nitrosoproline	3	not classifiable	i don't know
4-Chloro-ortho-toluidine	2A	probably carcinogenic	probably carcinogenic
Auramine production	1	carcinogenic to humans	carcinogenic to humans
Methylarsonic acid	2B	possibly carcinogenic	not classifiable
Androgenic (anabolic) steroids	2A	probably carcinogenic	probably carcinogenic
Griseofulvin	2B	possibly carcinogenic	possibly carcinogenic
ortho-Toluidine	1	carcinogenic to humans	carcinogenic to humans
1,2,3-Trichloropropane	2A	probably carcinogenic	probably carcinogenic
Styrene-7,8-oxide	2A	probably carcinogenic	probably carcinogenic
Nitrogen mustard N-oxide	2B	possibly carcinogenic	possibly carcinogenic
Primidone	2B	possibly carcinogenic	possibly carcinogenic
Toxaphene (Polychlorinated camphenes)	2B	possibly carcinogenic	possibly carcinogenic
Betel quid with tobacco	1	carcinogenic to humans	carcinogenic to humans
Pyrene	3	not classifiable	not classifiable
Benzidine, dyes metabolized to	1	carcinogenic to humans	carcinogenic to humans
Betel quid without tobacco	1	carcinogenic to humans	carcinogenic to humans
Chloroprene	2B	possibly carcinogenic	possibly carcinogenic
Automotive gasoline (see also Gasoline engine exhaust, and Aviation gasoline)	1	carcinogenic to humans	possibly carcinogenic
Panfuran S (containing dihydroxymethylfuratrizine)	2B	possibly carcinogenic	possibly carcinogenic
Carbon electrode manufacture	2A	probably carcinogenic	carcinogenic to humans
Aloe vera, whole leaf extract	2B	possibly carcinogenic	possibly carcinogenic
N,N-Dimethylacetamide	2B	possibly carcinogenic	possibly carcinogenic
Biomass fuel (primarily wood), indoor emissions from household combustion of	2A	probably carcinogenic	probably carcinogenic
1-Amino-2,4-dibromoanthraquinone	2B	possibly carcinogenic	possibly carcinogenic
Trichlormethine (Trimustine hydrochloride)	2B	possibly carcinogenic	carcinogenic to humans
Coal gasification	1	carcinogenic to humans	carcinogenic to humans
Frying, emissions from high-temperature	2A	probably carcinogenic	probably carcinogenic
Schistosoma japonicum (infection with)	2B	possibly carcinogenic	probably carcinogenic
Bitumens, occupational exposure to straight-run bitumens and their emissions during road paving	2B	possibly carcinogenic	carcinogenic to humans
Coal, indoor emissions from household combustion of	1	carcinogenic to humans	carcinogenic to humans
Arecoline	2B	possibly carcinogenic	possibly carcinogenic
4-Methylimidazole	2B	possibly carcinogenic	possibly carcinogenic
1-Hydroxyanthraquinone	2B	possibly carcinogenic	possibly carcinogenic
Hairdresser or barber (occupational exposure as a)	2A	probably carcinogenic	probably carcinogenic
2-Methyl-1-nitroanthraquinone (uncertain purity)	2B	possibly carcinogenic	not classifiable
