statement	score	confidence	gemini_2_5_flash
4-Nitrobiphenyl	3	not classifiable	carcinogenic to humans
ortho-Dichlorobenzene	3	not classifiable	not classifiable
Coumarin	3	not classifiable	not classifiable
2,5-Diaminotoluene	3	not classifiable	not classifiable
5-Chloro-ortho-toluidine	3	not classifiable	possibly carcinogenic
2,5-Xylidine	3	not classifiable	not classifiable
Amaranth	3	not classifiable	not classifiable
Ethylenethiourea	3	not classifiable	possibly carcinogenic
4,4',6-Trimethylangelicin plus ultraviolet A radiation	3	not classifiable	probably carcinogenic
Disulfiram	3	not classifiable	not classifiable
Eugenol	3	not classifiable	not classifiable
3,3'-Dimethoxybenzidine-4,4'-diisocyanate	3	not classifiable	not classifiable
5-Methylangelicin plus ultraviolet A radiation	3	not classifiable	probably carcinogenic
gamma-Butyrolactone	3	not classifiable	possibly carcinogenic
Benzoyl peroxide	3	not classifiable	not classifiable
2,4-Xylidine	3	not classifiable	possibly carcinogenic
Furfural	3	not classifiable	not classifiable
Methyl bromide	3	not classifiable	not classifiable
Methyl chloride	3	not classifiable	not classifiable
Nitrotoluenes	3	not classifiable	possibly carcinogenic
5-Nitro-ortho-toluidine	3	not classifiable	possibly carcinogenic
Rhodamine 6G	3	not classifiable	not classifiable
tert-Amyl methyl ether	3	not classifiable	not classifiable
Opisthorchis viverrini (infection with)	1	carcinogenic to humans	carcinogenic to humans
1,2-Diamino-4-nitrobenzene	3	not classifiable	not classifiable
Ethylene	3	not classifiable	not classifiable
N-Methyl-N,4-dinitrosoaniline	3	not classifiable	not classifiable
2-Amino-4-nitrophenol	3	not classifiable	not classifiable
Helicobacter pylori (infection with)	1	carcinogenic to humans	carcinogenic to humans
5-Nitro-ortho-anisidine	3	not classifiable	possibly carcinogenic
Acheson process, occupational exposure associated with	1	carcinogenic to humans	carcinogenic to humans
Acid mists, strong inorganic	1	carcinogenic to humans	carcinogenic to humans
Methyl iodide	3	not classifiable	not classifiable
Schistosoma haematobium (infection with)	1	carcinogenic to humans	carcinogenic to humans
Metronidazole	2B	possibly carcinogenic	possibly carcinogenic
Methyleugenol	2A	probably carcinogenic	possibly carcinogenic
Areca nut	1	carcinogenic to humans	carcinogenic to humans
Aluminium production	1	carcinogenic to humans	carcinogenic to humans
β-Myrcene	2B	possibly carcinogenic	possibly carcinogenic
Alcoholic beverages	1	carcinogenic to humans	carcinogenic to humans
ortho-Anisidine (see also ortho-Anisidine hydrochloride)	2A	probably carcinogenic	possibly carcinogenic
ortho-Nitroanisole	2A	probably carcinogenic	possibly carcinogenic
1,4-Dioxane	2B	possibly carcinogenic	possibly carcinogenic
Auramine	2B	possibly carcinogenic	carcinogenic to humans
Bromoethane	3	not classifiable	possibly carcinogenic
N-Nitrosomethylvinylamine	2B	possibly carcinogenic	possibly carcinogenic
Methylarsonic acid	2B	possibly carcinogenic	probably carcinogenic
Phenobarbital	2B	possibly carcinogenic	possibly carcinogenic
Griseofulvin	2B	possibly carcinogenic	possibly carcinogenic
Engine exhaust, diesel	1	carcinogenic to humans	carcinogenic to humans
Primidone	2B	possibly carcinogenic	possibly carcinogenic
4-Chloro-ortho-toluidine	2A	probably carcinogenic	carcinogenic to humans
Auramine production	1	carcinogenic to humans	carcinogenic to humans
1,2,3-Trichloropropane	2A	probably carcinogenic	probably carcinogenic
Automotive gasoline (see also Gasoline engine exhaust, and Aviation gasoline)	1	carcinogenic to humans	possibly carcinogenic
Styrene-7,8-oxide	2A	probably carcinogenic	probably carcinogenic
Tetranitromethane	2B	possibly carcinogenic	not classifiable
Mitomycin C	2B	possibly carcinogenic	possibly carcinogenic
Benzidine, dyes metabolized to	1	carcinogenic to humans	carcinogenic to humans
alpha-Chlorinated toluenes (benzal chloride, benzotrichloride, benzyl chloride) and benzoyl chloride (combined exposures)	2A	probably carcinogenic	carcinogenic to humans
Nitrogen mustard N-oxide	2B	possibly carcinogenic	possibly carcinogenic
Indium tin oxide	2B	possibly carcinogenic	possibly carcinogenic
2,4,6-Tris(1-aziridinyl)-s-triazine	3	not classifiable	probably carcinogenic
Aloe vera, whole leaf extract	2B	possibly carcinogenic	possibly carcinogenic
Propylthiouracil	2B	possibly carcinogenic	possibly carcinogenic
N,N-Dimethylacetamide	2B	possibly carcinogenic	not classifiable
Betel quid with tobacco	1	carcinogenic to humans	carcinogenic to humans
Chloroprene	2B	possibly carcinogenic	not classifiable
Betel quid without tobacco	1	carcinogenic to humans	carcinogenic to humans
2-Methyl-1-nitroanthraquinone (uncertain purity)	2B	possibly carcinogenic	not classifiable
Coal, indoor emissions from household combustion of	1	carcinogenic to humans	carcinogenic to humans
