statement	score	confidence	gemini_2_5_flash
6-Mercaptopurine	3	not classifiable	carcinogenic to humans
Methyl chloride	3	not classifiable	not classifiable
Nodularins	3	not classifiable	possibly carcinogenic
Ethylene	3	not classifiable	probably carcinogenic
Methyl bromide	3	not classifiable	not classifiable
Kojic acid	3	not classifiable	not classifiable
Isosafrole	3	not classifiable	possibly carcinogenic
Actinomycin D	3	not classifiable	probably carcinogenic
4-Amino-2-nitrophenol	3	not classifiable	not classifiable
2-Amino-5-nitrothiazole	3	not classifiable	not classifiable
Clomiphene citrate	3	not classifiable	possibly carcinogenic
Methyl iodide	3	not classifiable	not classifiable
Reserpine	3	not classifiable	possibly carcinogenic
2,4,6-Trinitrotoluene	3	not classifiable	not classifiable
5-Methylangelicin plus ultraviolet A radiation	3	not classifiable	probably carcinogenic
3-Chloronitrobenzene	3	not classifiable	not classifiable
Vitamin K substances	3	not classifiable	not classifiable
Bromoethane	3	not classifiable	possibly carcinogenic
Chlorobenzilate	3	not classifiable	not classifiable
Piperonyl butoxide	3	not classifiable	not classifiable
Sulfur dioxide	3	not classifiable	not classifiable
Pronetalol hydrochloride	3	not classifiable	PARSE_FAIL
N,N-Dimethylaniline	3	not classifiable	possibly carcinogenic
2-Amino-5-nitrophenol	3	not classifiable	possibly carcinogenic
5-Fluorouracil	3	not classifiable	possibly carcinogenic
Mercury and inorganic mercury compounds	3	not classifiable	not classifiable
Zineb	3	not classifiable	not classifiable
Chromium, metallic	3	not classifiable	not classifiable
2,4,6-Tris(1-aziridinyl)-s-triazine	3	not classifiable	possibly carcinogenic
Bromoform	3	not classifiable	possibly carcinogenic
Simazine	3	not classifiable	possibly carcinogenic
Glycidyl stearate	3	not classifiable	not classifiable
Chloroethane	3	not classifiable	possibly carcinogenic
4-Chloro-meta-phenylenediamine	3	not classifiable	possibly carcinogenic
Cimetidine	3	not classifiable	not classifiable
Light Green SF	3	not classifiable	not classifiable
Aurothioglucose	3	not classifiable	not classifiable
Vinylidene fluoride	3	not classifiable	not classifiable
Propham	3	not classifiable	not classifiable
Chlorodifluoromethane	3	not classifiable	not classifiable
Palygorskite (Attapulgite)(short fibres, < 5 micrometres)	3	not classifiable	not classifiable
D & C Red No. 9	3	not classifiable	not classifiable
Fenvalerate	3	not classifiable	possibly carcinogenic
Rosiglitazone	3	not classifiable	PARSE_FAIL
tert-Butyl alcohol	3	not classifiable	not classifiable
Spironolactone	3	not classifiable	possibly carcinogenic
Hydroquinone	3	not classifiable	not classifiable
Maleic hydrazide	3	not classifiable	not classifiable
Citrinin	3	not classifiable	not classifiable
Dichloroacetylene	3	not classifiable	possibly carcinogenic
Chlorodibromomethane	3	not classifiable	possibly carcinogenic
Trichlorfon	3	not classifiable	possibly carcinogenic
N-Nitrosoproline	3	not classifiable	not classifiable
2-Chloro-1,1,1-trifluoroethane	3	not classifiable	not classifiable
Kaempferol	3	not classifiable	not classifiable
Hydroxyurea	3	not classifiable	not classifiable
Apholate	3	not classifiable	possibly carcinogenic
Cyclochlorotine	3	not classifiable	not classifiable
Pentachloroethane	3	not classifiable	not classifiable
Maneb	3	not classifiable	not classifiable
Silica, amorphous	3	not classifiable	not classifiable
Sulfafurazole (Sulfisoxazole)	3	not classifiable	not classifiable
Hydrogen peroxide	3	not classifiable	not classifiable
Permethrin	3	not classifiable	probably carcinogenic
Prednisone	3	not classifiable	probably carcinogenic
Butylated hydroxytoluene (BHT)	3	not classifiable	not classifiable
Vat Yellow 4	3	not classifiable	not classifiable
Angelicin plus ultraviolet A radiation	3	not classifiable	probably carcinogenic
Selenium and selenium compounds	3	not classifiable	not classifiable
Hydrochloric acid	3	not classifiable	not classifiable
CI Acid Orange 20	3	not classifiable	not classifiable
1,4-Diamino-2-nitrobenzene	3	not classifiable	not classifiable
Sodium chlorite	3	not classifiable	PARSE_FAIL
Pyrene	3	not classifiable	not classifiable
Oxyphenbutazone	3	not classifiable	not classifiable
Chrysoidine	3	not classifiable	possibly carcinogenic
Blue VRS	3	not classifiable	PARSE_FAIL
2-Nitropyrene	3	not classifiable	possibly carcinogenic
1,1,2-Trichloroethane	3	not classifiable	not classifiable
Acrylic acid	3	not classifiable	not classifiable
Ferric oxide	3	not classifiable	not classifiable
Methylglyoxal	3	not classifiable	PARSE_FAIL
Ethionamide	3	not classifiable	not classifiable
Cobalt(II,III) oxide	3	not classifiable	possibly carcinogenic
Dibenzo[a,e]fluoranthene	3	not classifiable	possibly carcinogenic
Dapsone	3	not classifiable	possibly carcinogenic
Chloroquine	3	not classifiable	not classifiable
Deltamethrin	3	not classifiable	possibly carcinogenic
Medphalan	3	not classifiable	carcinogenic to humans
Methyl methacrylate	3	not classifiable	not classifiable
Dihydroxymethylfuratrizine (see also Panfuran S)	3	not classifiable	not classifiable
Alcoholic beverages	1	carcinogenic to humans	carcinogenic to humans
Yellow OB	3	not classifiable	possibly carcinogenic
