statement	score	confidence	gemini_2_5_flash
Ethylene	3	not classifiable	not classifiable
Coumarin	3	not classifiable	not classifiable
Methyl bromide	3	not classifiable	not classifiable
Isosafrole	3	not classifiable	possibly carcinogenic
5-Methylangelicin plus ultraviolet A radiation	3	not classifiable	not classifiable
Methyl chloride	3	not classifiable	not classifiable
3,3'-Dimethoxybenzidine-4,4'-diisocyanate	3	not classifiable	possibly carcinogenic
Sulfamethoxazole	3	not classifiable	not classifiable
Polymethylene polyphenyl isocyanate	3	not classifiable	not classifiable
4-Amino-2-nitrophenol	3	not classifiable	not classifiable
2,4,6-Trinitrotoluene	3	not classifiable	not classifiable
Nodularins	3	not classifiable	possibly carcinogenic
4-Nitrobiphenyl	3	not classifiable	probably carcinogenic
Methyl iodide	3	not classifiable	not classifiable
Amaranth	3	not classifiable	not classifiable
Anthranilic acid	3	not classifiable	PARSE_FAIL
Bromoethane	3	not classifiable	probably carcinogenic
Vitamin K substances	3	not classifiable	not classifiable
N,N-Dimethylaniline	3	not classifiable	possibly carcinogenic
Benzoyl peroxide	3	not classifiable	not classifiable
3-Chloronitrobenzene	3	not classifiable	not classifiable
4,4',6-Trimethylangelicin plus ultraviolet A radiation	3	not classifiable	carcinogenic to humans
Mercury and inorganic mercury compounds	3	not classifiable	not classifiable
2-Amino-5-nitrothiazole	3	not classifiable	not classifiable
ortho-Dichlorobenzene	3	not classifiable	possibly carcinogenic
2,4-Xylidine	3	not classifiable	possibly carcinogenic
2,5-Diaminotoluene	3	not classifiable	possibly carcinogenic
Sulfur dioxide	3	not classifiable	not classifiable
Bromoform	3	not classifiable	possibly carcinogenic
Zineb	3	not classifiable	not classifiable
Chloroethane	3	not classifiable	not classifiable
Aurothioglucose	3	not classifiable	not classifiable
Palygorskite (Attapulgite)(short fibres, < 5 micrometres)	3	not classifiable	not classifiable
2-Amino-5-nitrophenol	3	not classifiable	not classifiable
Vinylidene fluoride	3	not classifiable	not classifiable
Chromium, metallic	3	not classifiable	not classifiable
Glycidyl stearate	3	not classifiable	possibly carcinogenic
5-Chloro-ortho-toluidine	3	not classifiable	possibly carcinogenic
Eugenol	3	not classifiable	not classifiable
gamma-Butyrolactone	3	not classifiable	possibly carcinogenic
Simazine	3	not classifiable	possibly carcinogenic
Ethylenethiourea	3	not classifiable	possibly carcinogenic
Chlorodifluoromethane	3	not classifiable	not classifiable
2,5-Xylidine	3	not classifiable	possibly carcinogenic
tert-Butyl alcohol	3	not classifiable	not classifiable
Disulfiram	3	not classifiable	possibly carcinogenic
Propham	3	not classifiable	not classifiable
Hydroquinone	3	not classifiable	not classifiable
Dichloroacetylene	3	not classifiable	possibly carcinogenic
Furfural	3	not classifiable	possibly carcinogenic
N-Nitrosoproline	3	not classifiable	not classifiable
Maleic hydrazide	3	not classifiable	not classifiable
Nitrotoluenes	3	not classifiable	possibly carcinogenic
Rosiglitazone	3	not classifiable	PARSE_FAIL
Chlorodibromomethane	3	not classifiable	possibly carcinogenic
Pentachloroethane	3	not classifiable	possibly carcinogenic
2-Chloro-1,1,1-trifluoroethane	3	not classifiable	not classifiable
Maneb	3	not classifiable	not classifiable
5-Nitro-ortho-toluidine	3	not classifiable	possibly carcinogenic
Rhodamine 6G	3	not classifiable	PARSE_FAIL
Silica, amorphous	3	not classifiable	not classifiable
Hydrochloric acid	3	not classifiable	not classifiable
Hydroxyurea	3	not classifiable	probably carcinogenic
Hydrogen peroxide	3	not classifiable	not classifiable
1,2-Diamino-4-nitrobenzene	3	not classifiable	possibly carcinogenic
Sulfafurazole (Sulfisoxazole)	3	not classifiable	not classifiable
Sodium chlorite	3	not classifiable	not classifiable
2-Amino-4-nitrophenol	3	not classifiable	possibly carcinogenic
Cyclochlorotine	3	not classifiable	not classifiable
2-Nitropyrene	3	not classifiable	possibly carcinogenic
5-Nitro-ortho-anisidine	3	not classifiable	possibly carcinogenic
Butylated hydroxytoluene (BHT)	3	not classifiable	not classifiable
N-Methyl-N,4-dinitrosoaniline	3	not classifiable	possibly carcinogenic
Pyrene	3	not classifiable	not classifiable
Methylglyoxal	3	not classifiable	possibly carcinogenic
Oxyphenbutazone	3	not classifiable	not classifiable
tert-Amyl methyl ether	3	not classifiable	not classifiable
Selenium and selenium compounds	3	not classifiable	not classifiable
Cobalt(II,III) oxide	3	not classifiable	possibly carcinogenic
1,1,2-Trichloroethane	3	not classifiable	not classifiable
Isophorone	2B	possibly carcinogenic	possibly carcinogenic
Acrylic acid	3	not classifiable	not classifiable
Acid mists, strong inorganic	1	carcinogenic to humans	carcinogenic to humans
Vat Yellow 4	3	not classifiable	not classifiable
2-Nitrotoluene	2A	probably carcinogenic	possibly carcinogenic
Dapsone	3	not classifiable	possibly carcinogenic
Medphalan	3	not classifiable	carcinogenic to humans
1,2-Diphenylhydrazine	2B	possibly carcinogenic	possibly carcinogenic
Alcoholic beverages	1	carcinogenic to humans	carcinogenic to humans
Ferric oxide	3	not classifiable	not classifiable
Blue VRS	3	not classifiable	PARSE_FAIL
Dihydroxymethylfuratrizine (see also Panfuran S)	3	not classifiable	possibly carcinogenic
1,4-Dioxane	2B	possibly carcinogenic	possibly carcinogenic
ortho-Anisidine (see also ortho-Anisidine hydrochloride)	2A	probably carcinogenic	possibly carcinogenic
Aluminium production	1	carcinogenic to humans	carcinogenic to humans
β-Myrcene	2B	possibly carcinogenic	possibly carcinogenic
ortho-Nitroanisole	2A	probably carcinogenic	possibly carcinogenic
Isoprene	2B	possibly carcinogenic	possibly carcinogenic
Engine exhaust, diesel	1	carcinogenic to humans	carcinogenic to humans
Dichloroacetic acid	2B	possibly carcinogenic	possibly carcinogenic
