statement	score	confidence	gemini_2_5_flash
Ethylene	3	not classifiable	not classifiable
6-Mercaptopurine	3	not classifiable	carcinogenic to humans
Methyl bromide	3	not classifiable	not classifiable
Phenylbutazone	3	not classifiable	possibly carcinogenic
Sulfamethoxazole	3	not classifiable	not classifiable
Clomiphene citrate	3	not classifiable	probably carcinogenic
Actinomycin D	3	not classifiable	probably carcinogenic
Acridine orange	3	not classifiable	possibly carcinogenic
Reserpine	3	not classifiable	possibly carcinogenic
Coumarin	3	not classifiable	not classifiable
Polymethylene polyphenyl isocyanate	3	not classifiable	not classifiable
Methylene blue	3	not classifiable	not classifiable
Methyl chloride	3	not classifiable	not classifiable
5-Methylangelicin plus ultraviolet A radiation	3	not classifiable	probably carcinogenic
4-Nitrobiphenyl	3	not classifiable	probably carcinogenic
Benzoyl peroxide	3	not classifiable	not classifiable
Kojic acid	3	not classifiable	not classifiable
Methyl iodide	3	not classifiable	not classifiable
Piperonyl butoxide	3	not classifiable	not classifiable
Amaranth	3	not classifiable	not classifiable
Bromoethane	3	not classifiable	possibly carcinogenic
ortho-Dichlorobenzene	3	not classifiable	not classifiable
Pronetalol hydrochloride	3	not classifiable	not classifiable
3,3'-Dimethoxybenzidine-4,4'-diisocyanate	3	not classifiable	not classifiable
2,4-Xylidine	3	not classifiable	possibly carcinogenic
Chlorobenzilate	3	not classifiable	not classifiable
5-Fluorouracil	3	not classifiable	possibly carcinogenic
2,5-Diaminotoluene	3	not classifiable	possibly carcinogenic
2,4,6-Tris(1-aziridinyl)-s-triazine	3	not classifiable	possibly carcinogenic
Chromium, metallic	3	not classifiable	not classifiable
Chloroethane	3	not classifiable	not classifiable
Glycidyl stearate	3	not classifiable	possibly carcinogenic
4-Chloro-meta-phenylenediamine	3	not classifiable	possibly carcinogenic
2,5-Xylidine	3	not classifiable	possibly carcinogenic
5-Chloro-ortho-toluidine	3	not classifiable	possibly carcinogenic
Bromoform	3	not classifiable	possibly carcinogenic
Cimetidine	3	not classifiable	not classifiable
Mercury and inorganic mercury compounds	3	not classifiable	not classifiable
Light Green SF	3	not classifiable	not classifiable
Ethylenethiourea	3	not classifiable	possibly carcinogenic
Vinylidene fluoride	3	not classifiable	not classifiable
Chlorodifluoromethane	3	not classifiable	not classifiable
Fenvalerate	3	not classifiable	not classifiable
tert-Butyl alcohol	3	not classifiable	not classifiable
Disulfiram	3	not classifiable	not classifiable
Eugenol	3	not classifiable	not classifiable
Polymethyl methacrylate	3	not classifiable	i don't know
Spironolactone	3	not classifiable	possibly carcinogenic
Citrinin	3	not classifiable	not classifiable
Furfural	3	not classifiable	not classifiable
4,4',6-Trimethylangelicin plus ultraviolet A radiation	3	not classifiable	possibly carcinogenic
Rhodamine 6G	3	not classifiable	not classifiable
D & C Red No. 9	3	not classifiable	not classifiable
Nitrotoluenes	3	not classifiable	possibly carcinogenic
Dichloroacetylene	3	not classifiable	not classifiable
Apholate	3	not classifiable	possibly carcinogenic
5-Nitro-ortho-toluidine	3	not classifiable	not classifiable
N-Nitrosoproline	3	not classifiable	not classifiable
Trichlorfon	3	not classifiable	possibly carcinogenic
Pentachloroethane	3	not classifiable	not classifiable
CI Acid Orange 20	3	not classifiable	not classifiable
2-Chloro-1,1,1-trifluoroethane	3	not classifiable	not classifiable
Silica, amorphous	3	not classifiable	not classifiable
Hydrogen peroxide	3	not classifiable	not classifiable
Deltamethrin	3	not classifiable	possibly carcinogenic
Kaempferol	3	not classifiable	not classifiable
Sulfur dioxide	3	not classifiable	i don't know
1,2-Diamino-4-nitrobenzene	3	not classifiable	possibly carcinogenic
5-Nitro-ortho-anisidine	3	not classifiable	possibly carcinogenic
Permethrin	3	not classifiable	probably carcinogenic
2-Amino-4-nitrophenol	3	not classifiable	not classifiable
Angelicin plus ultraviolet A radiation	3	not classifiable	possibly carcinogenic
Prednisone	3	not classifiable	probably carcinogenic
gamma-Butyrolactone	3	not classifiable	not classifiable
tert-Amyl methyl ether	3	not classifiable	not classifiable
Selenium and selenium compounds	3	not classifiable	not classifiable
2-Nitropyrene	3	not classifiable	possibly carcinogenic
Ethionamide	3	not classifiable	possibly carcinogenic
Sodium chlorite	3	not classifiable	not classifiable
Methylglyoxal	3	not classifiable	probably carcinogenic
1,4-Diamino-2-nitrobenzene	3	not classifiable	possibly carcinogenic
Dibenzo[a,e]fluoranthene	3	not classifiable	possibly carcinogenic
Acrylic acid	3	not classifiable	not classifiable
Chrysoidine	3	not classifiable	possibly carcinogenic
1,1,2-Trichloroethane	3	not classifiable	not classifiable
Alcoholic beverages	1	carcinogenic to humans	carcinogenic to humans
1,8-Dinitropyrene	2B	possibly carcinogenic	probably carcinogenic
Acid mists, strong inorganic	1	carcinogenic to humans	carcinogenic to humans
Acheson process, occupational exposure associated with	1	carcinogenic to humans	carcinogenic to humans
Dacarbazine	2B	possibly carcinogenic	probably carcinogenic
Aluminium production	1	carcinogenic to humans	carcinogenic to humans
ortho-Anisidine (see also ortho-Anisidine hydrochloride)	2A	probably carcinogenic	possibly carcinogenic
ortho-Nitroanisole	2A	probably carcinogenic	possibly carcinogenic
Metronidazole	2B	possibly carcinogenic	possibly carcinogenic
N-Nitrosomethylvinylamine	2B	possibly carcinogenic	probably carcinogenic
2-Nitrotoluene	2A	probably carcinogenic	possibly carcinogenic
Methyleugenol	2A	probably carcinogenic	possibly carcinogenic
Auramine production	1	carcinogenic to humans	carcinogenic to humans
4-Chloro-ortho-toluidine	2A	probably carcinogenic	probably carcinogenic
Areca nut	1	carcinogenic to humans	carcinogenic to humans
Auramine	2B	possibly carcinogenic	carcinogenic to humans
Engine exhaust, diesel	1	carcinogenic to humans	carcinogenic to humans
Phenobarbital	2B	possibly carcinogenic	possibly carcinogenic
Styrene-7,8-oxide	2A	probably carcinogenic	probably carcinogenic
Mitomycin C	2B	possibly carcinogenic	carcinogenic to humans
Hydrochloric acid	3	not classifiable	not classifiable
1,2,3-Trichloropropane	2A	probably carcinogenic	probably carcinogenic
Tetranitromethane	2B	possibly carcinogenic	possibly carcinogenic
Propylthiouracil	2B	possibly carcinogenic	possibly carcinogenic
Betel quid with tobacco	1	carcinogenic to humans	carcinogenic to humans
Schistosoma japonicum (infection with)	2B	possibly carcinogenic	carcinogenic to humans
Benzidine, dyes metabolized to	1	carcinogenic to humans	carcinogenic to humans
Betel quid without tobacco	1	carcinogenic to humans	carcinogenic to humans
alpha-Chlorinated toluenes (benzal chloride, benzotrichloride, benzyl chloride) and benzoyl chloride (combined exposures)	2A	probably carcinogenic	probably carcinogenic
Indium tin oxide	2B	possibly carcinogenic	possibly carcinogenic
Automotive gasoline (see also Gasoline engine exhaust, and Aviation gasoline)	1	carcinogenic to humans	possibly carcinogenic
Coal gasification	1	carcinogenic to humans	carcinogenic to humans
Aloe vera, whole leaf extract	2B	possibly carcinogenic	possibly carcinogenic
Amsacrine	2B	possibly carcinogenic	possibly carcinogenic
Merphalan	2B	possibly carcinogenic	carcinogenic to humans
BK polyomavirus (BKV)	2B	possibly carcinogenic	not classifiable
Coke production	1	carcinogenic to humans	carcinogenic to humans
Creosotes	2A	probably carcinogenic	i don't know
Coal, indoor emissions from household combustion of	1	carcinogenic to humans	carcinogenic to humans
1-Chloro-2-methylpropene	2B	possibly carcinogenic	possibly carcinogenic
Bitumens, occupational exposure to hard bitumens and their emissions during mastic asphalt work	2B	possibly carcinogenic	probably carcinogenic
