statement	score	confidence	gemini_2_5_flash
6-Mercaptopurine	3	not classifiable	carcinogenic to humans
Methyl bromide	3	not classifiable	not classifiable
Phenylbutazone	3	not classifiable	possibly carcinogenic
Clomiphene citrate	3	not classifiable	possibly carcinogenic
Sulfamethoxazole	3	not classifiable	not classifiable
5-Methylangelicin plus ultraviolet A radiation	3	not classifiable	possibly carcinogenic
Coal dust	3	not classifiable	not classifiable
Acridine orange	3	not classifiable	not classifiable
Coumarin	3	not classifiable	not classifiable
4,4',6-Trimethylangelicin plus ultraviolet A radiation	3	not classifiable	probably carcinogenic
Reserpine	3	not classifiable	possibly carcinogenic
Polymethyl methacrylate	3	not classifiable	i don't know
Methylene blue	3	not classifiable	possibly carcinogenic
Ethylene	3	not classifiable	not classifiable
Coffee, drinking	3	not classifiable	not classifiable
Dental materials	3	not classifiable	not classifiable
Actinomycin D	3	not classifiable	probably carcinogenic
Methyl chloride	3	not classifiable	not classifiable
Methyl iodide	3	not classifiable	not classifiable
Amaranth	3	not classifiable	not classifiable
Chlorinated drinking-water	3	not classifiable	possibly carcinogenic
3,3'-Dimethoxybenzidine-4,4'-diisocyanate	3	not classifiable	not classifiable
Kojic acid	3	not classifiable	not classifiable
Polymethylene polyphenyl isocyanate	3	not classifiable	not classifiable
Calcium carbide production	3	not classifiable	carcinogenic to humans
Electric fields, extremely low-frequency	3	not classifiable	not classifiable
Benzoyl peroxide	3	not classifiable	not classifiable
Bromoethane	3	not classifiable	possibly carcinogenic
Diesel fuels, distillate (light)	3	not classifiable	not classifiable
4-Nitrobiphenyl	3	not classifiable	probably carcinogenic
Pronetalol hydrochloride	3	not classifiable	not classifiable
Electric fields, static	3	not classifiable	not classifiable
Ceramic implants	3	not classifiable	i don't know
ortho-Dichlorobenzene	3	not classifiable	not classifiable
Mercury and inorganic mercury compounds	3	not classifiable	not classifiable
Piperonyl butoxide	3	not classifiable	not classifiable
5-Fluorouracil	3	not classifiable	possibly carcinogenic
Flat-glass and specialty glass (manufacture of)	3	not classifiable	probably carcinogenic
2,4-Xylidine	3	not classifiable	possibly carcinogenic
Fuel oils, distillate (light)	3	not classifiable	possibly carcinogenic
2,4,6-Tris(1-aziridinyl)-s-triazine	3	not classifiable	possibly carcinogenic
Chlorobenzilate	3	not classifiable	not classifiable
Sulfur dioxide	3	not classifiable	not classifiable
2,5-Diaminotoluene	3	not classifiable	possibly carcinogenic
Chromium, metallic	3	not classifiable	not classifiable
4-Chloro-meta-phenylenediamine	3	not classifiable	possibly carcinogenic
Chloroethane	3	not classifiable	not classifiable
2,5-Xylidine	3	not classifiable	possibly carcinogenic
Glycidyl stearate	3	not classifiable	not classifiable
5-Chloro-ortho-toluidine	3	not classifiable	possibly carcinogenic
Glass filament, continuous	3	not classifiable	not classifiable
Ethylenethiourea	3	not classifiable	possibly carcinogenic
Bromoform	3	not classifiable	possibly carcinogenic
Cimetidine	3	not classifiable	not classifiable
Light Green SF	3	not classifiable	not classifiable
Eugenol	3	not classifiable	not classifiable
Vinylidene fluoride	3	not classifiable	not classifiable
Human T-cell lymphotropic virus type II	3	not classifiable	not classifiable
Hair colouring products (personal use of)	3	not classifiable	not classifiable
Chlorodifluoromethane	3	not classifiable	not classifiable
gamma-Butyrolactone	3	not classifiable	not classifiable
Fenvalerate	3	not classifiable	not classifiable
tert-Butyl alcohol	3	not classifiable	not classifiable
D & C Red No. 9	3	not classifiable	not classifiable
Disulfiram	3	not classifiable	possibly carcinogenic
Citrinin	3	not classifiable	not classifiable
Spironolactone	3	not classifiable	possibly carcinogenic
Human papillomavirus (HPV) genus beta (except types 5 and 8) and genus gamma	3	not classifiable	not classifiable
Fluorescent lighting	3	not classifiable	i don't know
2-Chloro-1,1,1-trifluoroethane	3	not classifiable	not classifiable
Furfural	3	not classifiable	possibly carcinogenic
Human papillomavirus (HPV) types 6 and 11	3	not classifiable	not classifiable
N-Nitrosoproline	3	not classifiable	not classifiable
Trichlorfon	3	not classifiable	not classifiable
Dichloroacetylene	3	not classifiable	not classifiable
Apholate	3	not classifiable	possibly carcinogenic
Rhodamine 6G	3	not classifiable	not classifiable
Insulation glass wool	3	not classifiable	not classifiable
Pentachloroethane	3	not classifiable	not classifiable
5-Nitro-ortho-toluidine	3	not classifiable	possibly carcinogenic
1,2-Diamino-4-nitrobenzene	3	not classifiable	possibly carcinogenic
Implanted foreign bodies of metallic chromium or titanium and of cobalt-based, chromium-based, and titanium-based alloys, and stainless steel	3	not classifiable	possibly carcinogenic
Lead compounds, organic	3	not classifiable	not classifiable
Angelicin plus ultraviolet A radiation	3	not classifiable	probably carcinogenic
Hydrogen peroxide	3	not classifiable	not classifiable
CI Acid Orange 20	3	not classifiable	not classifiable
2-Amino-4-nitrophenol	3	not classifiable	not classifiable
Silica, amorphous	3	not classifiable	not classifiable
Permethrin	3	not classifiable	probably carcinogenic
Kaempferol	3	not classifiable	not classifiable
5-Nitro-ortho-anisidine	3	not classifiable	possibly carcinogenic
Hypochlorite salts	3	not classifiable	not classifiable
Leather goods manufacture (see also Leather dust)	3	not classifiable	carcinogenic to humans
Lumber and sawmill industries (including logging)	3	not classifiable	carcinogenic to humans
Selenium and selenium compounds	3	not classifiable	not classifiable
Prednisone	3	not classifiable	probably carcinogenic
Nitrotoluenes	3	not classifiable	i don't know
Isopropyl oils	3	not classifiable	carcinogenic to humans
tert-Amyl methyl ether	3	not classifiable	not classifiable
Hydrochloric acid	3	not classifiable	i don't know
Leather tanning and processing	3	not classifiable	carcinogenic to humans
Methylglyoxal	3	not classifiable	possibly carcinogenic
Madder root (Rubia tinctorum)	3	not classifiable	possibly carcinogenic
1,4-Diamino-2-nitrobenzene	3	not classifiable	possibly carcinogenic
Deltamethrin	3	not classifiable	possibly carcinogenic
Jet fuel	3	not classifiable	possibly carcinogenic
2-Nitropyrene	3	not classifiable	probably carcinogenic
N-Methyl-N,4-dinitrosoaniline	3	not classifiable	possibly carcinogenic
Mate, not very hot (drinking)	3	not classifiable	not classifiable
Ethionamide	3	not classifiable	not classifiable
Sodium chlorite	3	not classifiable	i don't know
1,1,2-Trichloroethane	3	not classifiable	possibly carcinogenic
Chrysoidine	3	not classifiable	possibly carcinogenic
Dihydroxymethylfuratrizine (see also Panfuran S)	3	not classifiable	probably carcinogenic
Acrylic acid	3	not classifiable	not classifiable
Mineral oils, highly-refined	3	not classifiable	not classifiable
1,8-Dinitropyrene	2B	possibly carcinogenic	probably carcinogenic
Dibenzo[a,e]fluoranthene	3	not classifiable	possibly carcinogenic
Acheson process, occupational exposure associated with	1	carcinogenic to humans	carcinogenic to humans
Metronidazole	2B	possibly carcinogenic	possibly carcinogenic
Alcoholic beverages	1	carcinogenic to humans	carcinogenic to humans
Methyleugenol	2A	probably carcinogenic	possibly carcinogenic
Magnetic fields, static	3	not classifiable	not classifiable
2-Nitrotoluene	2A	probably carcinogenic	possibly carcinogenic
Acid mists, strong inorganic	1	carcinogenic to humans	carcinogenic to humans
ortho-Anisidine (see also ortho-Anisidine hydrochloride)	2A	probably carcinogenic	possibly carcinogenic
Dacarbazine	2B	possibly carcinogenic	probably carcinogenic
Areca nut	1	carcinogenic to humans	carcinogenic to humans
ortho-Nitroanisole	2A	probably carcinogenic	possibly carcinogenic
Aluminium production	1	carcinogenic to humans	carcinogenic to humans
