statement	score	confidence	gemini_2_5_flash
Methyl chloride	3	not classifiable	not classifiable
Ethylene	3	not classifiable	not classifiable
Phenylbutazone	3	not classifiable	possibly carcinogenic
Sulfamethoxazole	3	not classifiable	not classifiable
Actinomycin D	3	not classifiable	probably carcinogenic
Reserpine	3	not classifiable	possibly carcinogenic
Methyl bromide	3	not classifiable	not classifiable
Kojic acid	3	not classifiable	not classifiable
Bromoethane	3	not classifiable	possibly carcinogenic
Methylene blue	3	not classifiable	possibly carcinogenic
Methyl iodide	3	not classifiable	not classifiable
Clomiphene citrate	3	not classifiable	possibly carcinogenic
Acridine orange	3	not classifiable	not classifiable
Pronetalol hydrochloride	3	not classifiable	not classifiable
Piperonyl butoxide	3	not classifiable	not classifiable
6-Mercaptopurine	3	not classifiable	carcinogenic to humans
Mercury and inorganic mercury compounds	3	not classifiable	not classifiable
5-Fluorouracil	3	not classifiable	carcinogenic to humans
Chloroethane	3	not classifiable	possibly carcinogenic
Sulfur dioxide	3	not classifiable	not classifiable
2,4,6-Tris(1-aziridinyl)-s-triazine	3	not classifiable	carcinogenic to humans
Chromium, metallic	3	not classifiable	not classifiable
4-Chloro-meta-phenylenediamine	3	not classifiable	possibly carcinogenic
Bromoform	3	not classifiable	possibly carcinogenic
Cimetidine	3	not classifiable	not classifiable
Glycidyl stearate	3	not classifiable	possibly carcinogenic
Vinylidene fluoride	3	not classifiable	not classifiable
D & C Red No. 9	3	not classifiable	not classifiable
Chlorobenzilate	3	not classifiable	not classifiable
Fenvalerate	3	not classifiable	not classifiable
Citrinin	3	not classifiable	not classifiable
Spironolactone	3	not classifiable	possibly carcinogenic
Apholate	3	not classifiable	not classifiable
Chlorodifluoromethane	3	not classifiable	not classifiable
Light Green SF	3	not classifiable	not classifiable
CI Acid Orange 20	3	not classifiable	not classifiable
Trichlorfon	3	not classifiable	possibly carcinogenic
Pentachloroethane	3	not classifiable	possibly carcinogenic
N-Nitrosoproline	3	not classifiable	not classifiable
tert-Butyl alcohol	3	not classifiable	not classifiable
Silica, amorphous	3	not classifiable	not classifiable
Dichloroacetylene	3	not classifiable	possibly carcinogenic
Hydrogen peroxide	3	not classifiable	not classifiable
Hydrochloric acid	3	not classifiable	not classifiable
Sodium chlorite	3	not classifiable	i don't know
Angelicin plus ultraviolet A radiation	3	not classifiable	probably carcinogenic
Permethrin	3	not classifiable	probably carcinogenic
Selenium and selenium compounds	3	not classifiable	not classifiable
Deltamethrin	3	not classifiable	possibly carcinogenic
Prednisone	3	not classifiable	probably carcinogenic
Methylglyoxal	3	not classifiable	probably carcinogenic
5-Methylangelicin plus ultraviolet A radiation	3	not classifiable	not classifiable
2-Nitropyrene	3	not classifiable	probably carcinogenic
1,4-Diamino-2-nitrobenzene	3	not classifiable	not classifiable
1,1,2-Trichloroethane	3	not classifiable	possibly carcinogenic
2-Chloro-1,1,1-trifluoroethane	3	not classifiable	not classifiable
Chrysoidine	3	not classifiable	possibly carcinogenic
Acheson process, occupational exposure associated with	1	carcinogenic to humans	carcinogenic to humans
Ethionamide	3	not classifiable	not classifiable
Kaempferol	3	not classifiable	i don't know
Creosotes	2A	probably carcinogenic	carcinogenic to humans
Potassium bromate	2B	possibly carcinogenic	possibly carcinogenic
Alcoholic beverages	1	carcinogenic to humans	carcinogenic to humans
Dihydroxymethylfuratrizine (see also Panfuran S)	3	not classifiable	probably carcinogenic
Dibenzo[a,e]fluoranthene	3	not classifiable	possibly carcinogenic
Acid mists, strong inorganic	1	carcinogenic to humans	carcinogenic to humans
2-Nitrotoluene	2A	probably carcinogenic	possibly carcinogenic
Phenyl glycidyl ether	2B	possibly carcinogenic	possibly carcinogenic
Acrylic acid	3	not classifiable	not classifiable
Isophorone	2B	possibly carcinogenic	possibly carcinogenic
Isoprene	2B	possibly carcinogenic	possibly carcinogenic
β-Myrcene	2B	possibly carcinogenic	possibly carcinogenic
1,2-Diphenylhydrazine	2B	possibly carcinogenic	possibly carcinogenic
Areca nut	1	carcinogenic to humans	carcinogenic to humans
Aluminium production	1	carcinogenic to humans	carcinogenic to humans
1,4-Dioxane	2B	possibly carcinogenic	possibly carcinogenic
Engine exhaust, diesel	1	carcinogenic to humans	carcinogenic to humans
Methyleugenol	2A	probably carcinogenic	possibly carcinogenic
ortho-Anisidine (see also ortho-Anisidine hydrochloride)	2A	probably carcinogenic	possibly carcinogenic
1,1,2,2-Tetrachloroethane	2B	possibly carcinogenic	possibly carcinogenic
Dichloroacetic acid	2B	possibly carcinogenic	possibly carcinogenic
ortho-Nitroanisole	2A	probably carcinogenic	possibly carcinogenic
Auramine production	1	carcinogenic to humans	carcinogenic to humans
Primidone	2B	possibly carcinogenic	probably carcinogenic
Griseofulvin	2B	possibly carcinogenic	possibly carcinogenic
Methylarsonic acid	2B	possibly carcinogenic	not classifiable
2-Nitropropane	2B	possibly carcinogenic	possibly carcinogenic
4-Chloro-ortho-toluidine	2A	probably carcinogenic	probably carcinogenic
Toxaphene (Polychlorinated camphenes)	2B	possibly carcinogenic	possibly carcinogenic
1,2,3-Trichloropropane	2A	probably carcinogenic	probably carcinogenic
Styrene-7,8-oxide	2A	probably carcinogenic	probably carcinogenic
Automotive gasoline (see also Gasoline engine exhaust, and Aviation gasoline)	1	carcinogenic to humans	possibly carcinogenic
Nitrogen mustard N-oxide	2B	possibly carcinogenic	possibly carcinogenic
Benzidine, dyes metabolized to	1	carcinogenic to humans	carcinogenic to humans
Chloroprene	2B	possibly carcinogenic	not classifiable
Betel quid with tobacco	1	carcinogenic to humans	carcinogenic to humans
Aloe vera, whole leaf extract	2B	possibly carcinogenic	possibly carcinogenic
N,N-Dimethylacetamide	2B	possibly carcinogenic	possibly carcinogenic
Panfuran S (containing dihydroxymethylfuratrizine)	2B	possibly carcinogenic	not classifiable
Betel quid without tobacco	1	carcinogenic to humans	carcinogenic to humans
Coal gasification	1	carcinogenic to humans	carcinogenic to humans
Bitumens, occupational exposure to straight-run bitumens and their emissions during road paving	2B	possibly carcinogenic	possibly carcinogenic
Arecoline	2B	possibly carcinogenic	possibly carcinogenic
1-Hydroxyanthraquinone	2B	possibly carcinogenic	possibly carcinogenic
1-Amino-2,4-dibromoanthraquinone	2B	possibly carcinogenic	possibly carcinogenic
4-Methylimidazole	2B	possibly carcinogenic	possibly carcinogenic
Coal, indoor emissions from household combustion of	1	carcinogenic to humans	carcinogenic to humans
Schistosoma japonicum (infection with)	2B	possibly carcinogenic	possibly carcinogenic
2-Methyl-1-nitroanthraquinone (uncertain purity)	2B	possibly carcinogenic	possibly carcinogenic
Leucomalachite green (see also Malachite green)	2B	possibly carcinogenic	possibly carcinogenic
BK polyomavirus (BKV)	2B	possibly carcinogenic	not classifiable
4,4'-Methylene bis(2-methylaniline)	2B	possibly carcinogenic	possibly carcinogenic
alpha-Chlorinated toluenes (benzal chloride, benzotrichloride, benzyl chloride) and benzoyl chloride (combined exposures)	2A	probably carcinogenic	probably carcinogenic
Carpentry and joinery	2B	possibly carcinogenic	carcinogenic to humans
Trichlormethine (Trimustine hydrochloride)	2B	possibly carcinogenic	probably carcinogenic
Anthraquinone	2B	possibly carcinogenic	possibly carcinogenic
Coke production	1	carcinogenic to humans	carcinogenic to humans
Bracken fern	2B	possibly carcinogenic	possibly carcinogenic
Molybdenum trioxide	2B	possibly carcinogenic	possibly carcinogenic
Epstein-Barr virus	1	carcinogenic to humans	carcinogenic to humans
Carbazole	2B	possibly carcinogenic	possibly carcinogenic
Cobalt(II) oxide	2B	possibly carcinogenic	probably carcinogenic
Estrogen-progestogen menopausal therapy (combined)	1	carcinogenic to humans	carcinogenic to humans
Estrogen therapy, postmenopausal	1	carcinogenic to humans	carcinogenic to humans
Bitumens, occupational exposure to hard bitumens and their emissions during mastic asphalt work	2B	possibly carcinogenic	probably carcinogenic
Vanadium pentoxide	2B	possibly carcinogenic	possibly carcinogenic
Sodium ortho-phenylphenate	2B	possibly carcinogenic	possibly carcinogenic
Carbon black	2B	possibly carcinogenic	possibly carcinogenic
Firefighter (occupational exposure as a)	1	carcinogenic to humans	carcinogenic to humans
2,6-Dimethylaniline (2,6-Xylidine)	2B	possibly carcinogenic	possibly carcinogenic
Estrogen-progestogen oral contraceptives (combined)	1	carcinogenic to humans	carcinogenic to humans
2,4,6-Trichlorophenol (see also Polychlorophenols)	2B	possibly carcinogenic	possibly carcinogenic
N-Nitrososarcosine	2B	possibly carcinogenic	possibly carcinogenic
Chlorinated paraffins of average carbon chain length C12 and average degree of chlorination approximately 60%	2B	possibly carcinogenic	possibly carcinogenic
2-Chloronitrobenzene	2B	possibly carcinogenic	possibly carcinogenic
Titanium dioxide	2B	possibly carcinogenic	possibly carcinogenic
1,4-Dichloro-2-nitrobenzene	2B	possibly carcinogenic	not classifiable
Cupferron	2B	possibly carcinogenic	possibly carcinogenic
Pulegone	2B	possibly carcinogenic	possibly carcinogenic
Engine exhaust, gasoline	2B	possibly carcinogenic	possibly carcinogenic
Dimethyl hydrogen phosphite	2B	possibly carcinogenic	i don't know
Fluoro-edenite fibrous amphibole	1	carcinogenic to humans	carcinogenic to humans
Diesel fuel, marine	2B	possibly carcinogenic	not classifiable
Haematite mining (underground)	1	carcinogenic to humans	carcinogenic to humans
Fuel oils, residual (heavy)	2B	possibly carcinogenic	possibly carcinogenic
Phenazopyridine hydrochloride	2B	possibly carcinogenic	possibly carcinogenic
Nitrilotriacetic acid and its salts	2B	possibly carcinogenic	possibly carcinogenic
Michler’s ketone [4,4´-Bis(dimethylamino)­benzophenone]	2B	possibly carcinogenic	possibly carcinogenic
Hepatitis C virus (chronic infection with)	1	carcinogenic to humans	carcinogenic to humans
Hepatitis B virus (chronic infection with)	1	carcinogenic to humans	carcinogenic to humans
Dry cleaning (occupational exposures in)	2B	possibly carcinogenic	probably carcinogenic
4,4'-Thiodianiline	2B	possibly carcinogenic	possibly carcinogenic
Hexachlorocyclohexanes	2B	possibly carcinogenic	probably carcinogenic
Hepatitis D virus (HDV)	1	carcinogenic to humans	carcinogenic to humans
Iron-dextran complex	2B	possibly carcinogenic	possibly carcinogenic
Aviation gasoline (see also Automotive gasoline, and Gasoline engine exhaust)	2B	possibly carcinogenic	possibly carcinogenic
Goldenseal root powder	2B	possibly carcinogenic	possibly carcinogenic
Ginkgo biloba extract	2B	possibly carcinogenic	possibly carcinogenic
Chlorophenoxy herbicides	2B	possibly carcinogenic	possibly carcinogenic
Ethyl acrylate	2B	possibly carcinogenic	possibly carcinogenic
Human immunodeficiency virus type 1 (infection with)	1	carcinogenic to humans	carcinogenic to humans
Human T-cell lymphotropic virus type I	1	carcinogenic to humans	carcinogenic to humans
Naphthalene	2B	possibly carcinogenic	possibly carcinogenic
Human cytomegalovirus (HCMV)	2B	possibly carcinogenic	probably carcinogenic
Human immunodeficiency virus type 2 (infection with)	2B	possibly carcinogenic	carcinogenic to humans
Kava extract	2B	possibly carcinogenic	possibly carcinogenic
Thiouracil	2B	possibly carcinogenic	possibly carcinogenic
Quinoline	2B	possibly carcinogenic	possibly carcinogenic
Fission products, including strontium-90	1	carcinogenic to humans	carcinogenic to humans
2,4-Hexadienal	2B	possibly carcinogenic	not classifiable
3,3'-Dichlorobenzidine	2B	possibly carcinogenic	possibly carcinogenic
Human papillomavirus (HPV) type 18	1	carcinogenic to humans	carcinogenic to humans
Chlordecone (Kepone)	2B	possibly carcinogenic	possibly carcinogenic
N-Nitrosodi-n-butylamine	2B	possibly carcinogenic	possibly carcinogenic
Human papillomavirus (HPV) type 16	1	carcinogenic to humans	carcinogenic to humans
Cycasin	2B	possibly carcinogenic	probably carcinogenic
N-Nitrosopyrrolidine	2B	possibly carcinogenic	possibly carcinogenic
Human papillomavirus (HPV) type 33	1	carcinogenic to humans	carcinogenic to humans
Aramite®	2B	possibly carcinogenic	possibly carcinogenic
N-Methylolacrylamide	2B	possibly carcinogenic	not classifiable
Human papillomavirus (HPV) types 26, 53, 66, 67, 70, 73, 82	2B	possibly carcinogenic	possibly carcinogenic
Trichloroethylene	1	carcinogenic to humans	carcinogenic to humans
1,8-Dinitropyrene	2B	possibly carcinogenic	probably carcinogenic
Modacrylic fibres	3	not classifiable	not classifiable
Human papillomavirus (HPV) types 31, 35, 39, 45, 51, 52, 56, 58, 59	1	carcinogenic to humans	carcinogenic to humans
Ionizing radiation (all types)	1	carcinogenic to humans	carcinogenic to humans
Aziridine	2B	possibly carcinogenic	probably carcinogenic
Chloroquine	3	not classifiable	not classifiable
Iron and steel founding (occupational exposure during)	1	carcinogenic to humans	carcinogenic to humans
Human papillomavirus (HPV) types 5 and 8 (in patients with epidermodysplasia verruciformis)	2B	possibly carcinogenic	carcinogenic to humans
Hycanthone mesylate	3	not classifiable	possibly carcinogenic
Yellow OB	3	not classifiable	possibly carcinogenic
Furosemide (Frusemide)	3	not classifiable	not classifiable
Dacarbazine	2B	possibly carcinogenic	probably carcinogenic
Dapsone	3	not classifiable	not classifiable
Isopropyl alcohol manufacture using strong acids	1	carcinogenic to humans	carcinogenic to humans
Metronidazole	2B	possibly carcinogenic	possibly carcinogenic
Human papillomavirus (HPV) types 30, 34, 69, 85, 97	2B	possibly carcinogenic	possibly carcinogenic
Methyl methacrylate	3	not classifiable	not classifiable
Coal-tar distillation	1	carcinogenic to humans	carcinogenic to humans
Orthopaedic implants of complex composition and cardiac pacemakers	3	not classifiable	not classifiable
Pentachlorophenol (see also Polychlorophenols)	1	carcinogenic to humans	probably carcinogenic
Aziridyl benzoquinone	3	not classifiable	possibly carcinogenic
Kaposi sarcoma herpesvirus	1	carcinogenic to humans	carcinogenic to humans
Organic polymeric materials	3	not classifiable	i don't know
2-Naphthylamine	1	carcinogenic to humans	carcinogenic to humans
Isonicotinic acid hydrazide (Isoniazid)	3	not classifiable	possibly carcinogenic
Fast Green FCF	3	not classifiable	not classifiable
Ferric oxide	3	not classifiable	not classifiable
Cobalt(II) sulfide	3	not classifiable	probably carcinogenic
Implanted foreign bodies of metallic cobalt, metallic nickel and an alloy powder containing 66-67% nickel, 13-16% chromium, and 7% iron	2B	possibly carcinogenic	possibly carcinogenic
meta-Dichlorobenzene	3	not classifiable	not classifiable
Terpene polychlorinates (Strobane®)	3	not classifiable	possibly carcinogenic
4-Aminobiphenyl	1	carcinogenic to humans	carcinogenic to humans
N-Nitrosomethylvinylamine	2B	possibly carcinogenic	possibly carcinogenic
MOPP and other combined chemotherapy including alkylating agents	1	carcinogenic to humans	carcinogenic to humans
Leather dust	1	carcinogenic to humans	carcinogenic to humans
Paint manufacture (occupational exposure in)	3	not classifiable	carcinogenic to humans
Phenobarbital	2B	possibly carcinogenic	possibly carcinogenic
Malonaldehyde	3	not classifiable	possibly carcinogenic
Benzidine	1	carcinogenic to humans	carcinogenic to humans
Other cobalt(II) compounds (not including Soluble cobalt(II) salts, Cobalt(II) oxide, Cobalt(II,III) oxide, and Cobalt(II) sulfide)	3	not classifiable	probably carcinogenic
Potassium bis(2-hydroxyethyl)dithiocarbamate	3	not classifiable	not classifiable
Crude oil	3	not classifiable	not classifiable
Glycidyl oleate	3	not classifiable	not classifiable
Senkirkine	3	not classifiable	not classifiable
Haematite	3	not classifiable	not classifiable
Dibenzothiophene	3	not classifiable	i don't know
Benzo[a]fluorene	3	not classifiable	probably carcinogenic
Rugulosin	3	not classifiable	i don't know
Zeolites other than erionite (clinoptilolite, phillipsite,mordenite, non-fibrous Japanese zeolite, synthetic zeolites)	3	not classifiable	not classifiable
Magenta production	1	carcinogenic to humans	carcinogenic to humans
ortho-Toluidine	1	carcinogenic to humans	carcinogenic to humans
Mitomycin C	2B	possibly carcinogenic	carcinogenic to humans
Rifampicin	3	not classifiable	not classifiable
Nitrovin	3	not classifiable	not classifiable
Merkel cell polyomavirus (MCPyV)	1	carcinogenic to humans	probably carcinogenic
Auramine	2B	possibly carcinogenic	possibly carcinogenic
Tetranitromethane	2B	possibly carcinogenic	not classifiable
Androgenic (anabolic) steroids	2A	probably carcinogenic	probably carcinogenic
Bis(2,3-epoxycyclopentyl)ether	3	not classifiable	possibly carcinogenic
Acriflavinium chloride	3	not classifiable	i don't know
Captan	3	not classifiable	not classifiable
Trichloroacetonitrile	3	not classifiable	possibly carcinogenic
Mineral oils, untreated or mildly treated	1	carcinogenic to humans	carcinogenic to humans
Indium tin oxide	2B	possibly carcinogenic	possibly carcinogenic
Art glass, glass containers and pressed ware (manufacture of)	2A	probably carcinogenic	possibly carcinogenic
Xylenes	3	not classifiable	not classifiable
Polychlorinated dibenzo-para-dioxins (other than 2,3,7,8-tetrachlorodibenzo-para-dioxin)	3	not classifiable	not classifiable
Ethyl selenac	3	not classifiable	possibly carcinogenic
Tris(1-aziridinyl)phosphine oxide	3	not classifiable	possibly carcinogenic
Pentavalent antimony	3	not classifiable	i don't know
Saccharin and its salts	3	not classifiable	not classifiable
Printing inks	3	not classifiable	not classifiable
CI Pigment Red 3	3	not classifiable	possibly carcinogenic
Propylthiouracil	2B	possibly carcinogenic	possibly carcinogenic
Neutron radiation	1	carcinogenic to humans	carcinogenic to humans
Biomass fuel (primarily wood), indoor emissions from household combustion of	2A	probably carcinogenic	probably carcinogenic
Nickel compounds	1	carcinogenic to humans	carcinogenic to humans
