statement	score	confidence	gemini_2_5_flash
Coffee, drinking	3	not classifiable	not classifiable
Methyl bromide	3	not classifiable	not classifiable
Dental materials	3	not classifiable	not classifiable
Actinomycin D	3	not classifiable	probably carcinogenic
Methyl chloride	3	not classifiable	not classifiable
6-Mercaptopurine	3	not classifiable	carcinogenic to humans
Ethylene	3	not classifiable	not classifiable
Coumarin	3	not classifiable	not classifiable
Amaranth	3	not classifiable	not classifiable
Reserpine	3	not classifiable	possibly carcinogenic
Clomiphene citrate	3	not classifiable	possibly carcinogenic
5-Methylangelicin plus ultraviolet A radiation	3	not classifiable	probably carcinogenic
3,3'-Dimethoxybenzidine-4,4'-diisocyanate	3	not classifiable	possibly carcinogenic
Chlorinated drinking-water	3	not classifiable	not classifiable
4,4',6-Trimethylangelicin plus ultraviolet A radiation	3	not classifiable	possibly carcinogenic
Kojic acid	3	not classifiable	not classifiable
Coal dust	3	not classifiable	not classifiable
Methyl iodide	3	not classifiable	possibly carcinogenic
Mercury and inorganic mercury compounds	3	not classifiable	not classifiable
Pronetalol hydrochloride	3	not classifiable	possibly carcinogenic
4-Nitrobiphenyl	3	not classifiable	probably carcinogenic
Diesel fuels, distillate (light)	3	not classifiable	not classifiable
Benzoyl peroxide	3	not classifiable	not classifiable
Flat-glass and specialty glass (manufacture of)	3	not classifiable	possibly carcinogenic
Piperonyl butoxide	3	not classifiable	not classifiable
Bromoethane	3	not classifiable	probably carcinogenic
Electric fields, extremely low-frequency	3	not classifiable	possibly carcinogenic
ortho-Dichlorobenzene	3	not classifiable	not classifiable
Electric fields, static	3	not classifiable	not classifiable
5-Fluorouracil	3	not classifiable	probably carcinogenic
Chromium, metallic	3	not classifiable	not classifiable
2,5-Diaminotoluene	3	not classifiable	possibly carcinogenic
Sulfur dioxide	3	not classifiable	not classifiable
Fuel oils, distillate (light)	3	not classifiable	possibly carcinogenic
2,4,6-Tris(1-aziridinyl)-s-triazine	3	not classifiable	probably carcinogenic
Chlorobenzilate	3	not classifiable	not classifiable
5-Chloro-ortho-toluidine	3	not classifiable	possibly carcinogenic
2,4-Xylidine	3	not classifiable	possibly carcinogenic
Glycidyl stearate	3	not classifiable	possibly carcinogenic
2,5-Xylidine	3	not classifiable	possibly carcinogenic
Chloroethane	3	not classifiable	not classifiable
Glass filament, continuous	3	not classifiable	not classifiable
4-Chloro-meta-phenylenediamine	3	not classifiable	possibly carcinogenic
Fluorescent lighting	3	not classifiable	possibly carcinogenic
Cimetidine	3	not classifiable	not classifiable
Bromoform	3	not classifiable	possibly carcinogenic
Ethylenethiourea	3	not classifiable	possibly carcinogenic
tert-Butyl alcohol	3	not classifiable	not classifiable
Hair colouring products (personal use of)	3	not classifiable	not classifiable
Light Green SF	3	not classifiable	not classifiable
Chlorodifluoromethane	3	not classifiable	not classifiable
gamma-Butyrolactone	3	not classifiable	not classifiable
Disulfiram	3	not classifiable	not classifiable
Human papillomavirus (HPV) genus beta (except types 5 and 8) and genus gamma	3	not classifiable	possibly carcinogenic
D & C Red No. 9	3	not classifiable	not classifiable
Vinylidene fluoride	3	not classifiable	not classifiable
Human T-cell lymphotropic virus type II	3	not classifiable	not classifiable
Fenvalerate	3	not classifiable	possibly carcinogenic
Eugenol	3	not classifiable	not classifiable
Human papillomavirus (HPV) types 6 and 11	3	not classifiable	not classifiable
Spironolactone	3	not classifiable	possibly carcinogenic
Furfural	3	not classifiable	not classifiable
2-Chloro-1,1,1-trifluoroethane	3	not classifiable	not classifiable
Hypochlorite salts	3	not classifiable	not classifiable
Nitrotoluenes	3	not classifiable	possibly carcinogenic
Trichlorfon	3	not classifiable	possibly carcinogenic
Citrinin	3	not classifiable	not classifiable
Apholate	3	not classifiable	possibly carcinogenic
N-Nitrosoproline	3	not classifiable	not classifiable
Dichloroacetylene	3	not classifiable	possibly carcinogenic
Rhodamine 6G	3	not classifiable	PARSE_FAIL
Implanted foreign bodies of metallic chromium or titanium and of cobalt-based, chromium-based, and titanium-based alloys, and stainless steel	3	not classifiable	not classifiable
Insulation glass wool	3	not classifiable	not classifiable
Pentachloroethane	3	not classifiable	possibly carcinogenic
