statement	score	confidence	gemini_2_5_flash
6-Mercaptopurine	3	not classifiable	carcinogenic to humans
Kojic acid	3	not classifiable	not classifiable
Reserpine	3	not classifiable	possibly carcinogenic
Coumarin	3	not classifiable	not classifiable
Phenylbutazone	3	not classifiable	possibly carcinogenic
Methyl bromide	3	not classifiable	not classifiable
Clomiphene citrate	3	not classifiable	possibly carcinogenic
Ethylene	3	not classifiable	not classifiable
Amaranth	3	not classifiable	not classifiable
Methyl chloride	3	not classifiable	not classifiable
Sulfamethoxazole	3	not classifiable	not classifiable
4,4',6-Trimethylangelicin plus ultraviolet A radiation	3	not classifiable	possibly carcinogenic
Methyl iodide	3	not classifiable	not classifiable
Actinomycin D	3	not classifiable	probably carcinogenic
4-Nitrobiphenyl	3	not classifiable	possibly carcinogenic
Bromoethane	3	not classifiable	probably carcinogenic
ortho-Dichlorobenzene	3	not classifiable	not classifiable
Piperonyl butoxide	3	not classifiable	not classifiable
Benzoyl peroxide	3	not classifiable	not classifiable
3,3'-Dimethoxybenzidine-4,4'-diisocyanate	3	not classifiable	possibly carcinogenic
Polymethylene polyphenyl isocyanate	3	not classifiable	not classifiable
Mercury and inorganic mercury compounds	3	not classifiable	not classifiable
5-Methylangelicin plus ultraviolet A radiation	3	not classifiable	not classifiable
5-Fluorouracil	3	not classifiable	probably carcinogenic
Chlorobenzilate	3	not classifiable	not classifiable
Sulfur dioxide	3	not classifiable	not classifiable
Pronetalol hydrochloride	3	not classifiable	not classifiable
Light Green SF	3	not classifiable	not classifiable
Chloroethane	3	not classifiable	not classifiable
2,5-Diaminotoluene	3	not classifiable	possibly carcinogenic
Glycidyl stearate	3	not classifiable	possibly carcinogenic
5-Chloro-ortho-toluidine	3	not classifiable	possibly carcinogenic
2,4,6-Tris(1-aziridinyl)-s-triazine	3	not classifiable	probably carcinogenic
Chromium, metallic	3	not classifiable	not classifiable
4-Chloro-meta-phenylenediamine	3	not classifiable	possibly carcinogenic
Cimetidine	3	not classifiable	not classifiable
Bromoform	3	not classifiable	possibly carcinogenic
gamma-Butyrolactone	3	not classifiable	possibly carcinogenic
2,4-Xylidine	3	not classifiable	not classifiable
2,5-Xylidine	3	not classifiable	possibly carcinogenic
Ethylenethiourea	3	not classifiable	possibly carcinogenic
Vinylidene fluoride	3	not classifiable	not classifiable
Fenvalerate	3	not classifiable	possibly carcinogenic
Chlorodifluoromethane	3	not classifiable	not classifiable
Disulfiram	3	not classifiable	possibly carcinogenic
Eugenol	3	not classifiable	not classifiable
Spironolactone	3	not classifiable	possibly carcinogenic
tert-Butyl alcohol	3	not classifiable	not classifiable
D & C Red No. 9	3	not classifiable	not classifiable
Citrinin	3	not classifiable	not classifiable
Furfural	3	not classifiable	not classifiable
Dichloroacetylene	3	not classifiable	possibly carcinogenic
