statement	score	confidence	gemini_2_5_flash
Vinylidene chloride-vinyl chloride copolymers	3	not classifiable	not classifiable
Chlornaphazine	1	carcinogenic to humans	carcinogenic to humans
Cyclophosphamide	1	carcinogenic to humans	carcinogenic to humans
Azathioprine	1	carcinogenic to humans	carcinogenic to humans
Formaldehyde	1	carcinogenic to humans	carcinogenic to humans
Sulfamethoxazole	3	not classifiable	not classifiable
4,4',6-Trimethylangelicin plus ultraviolet A radiation	3	not classifiable	probably carcinogenic
Polychloroprene	3	not classifiable	not classifiable
Methylene blue	3	not classifiable	possibly carcinogenic
Endrin	3	not classifiable	not classifiable
Methoxychlor	3	not classifiable	not classifiable
Perfluorooctanoic acid (PFOA)	1	carcinogenic to humans	carcinogenic to humans
Polymethyl methacrylate	3	not classifiable	not classifiable
Methyl bromide	3	not classifiable	not classifiable
Coumarin	3	not classifiable	not classifiable
Benzo[a]pyrene	1	carcinogenic to humans	carcinogenic to humans
Etoposide in combination with cisplatin and bleomycin	1	carcinogenic to humans	carcinogenic to humans
Bromoethane	3	not classifiable	possibly carcinogenic
Methyl chloride	3	not classifiable	not classifiable
Thiotepa	1	carcinogenic to humans	carcinogenic to humans
4-Nitrobiphenyl	3	not classifiable	carcinogenic to humans
Sulfur mustard	1	carcinogenic to humans	carcinogenic to humans
Ethylene	3	not classifiable	not classifiable
Methyl iodide	3	not classifiable	not classifiable
Benzoyl peroxide	3	not classifiable	not classifiable
Busulfan	1	carcinogenic to humans	carcinogenic to humans
Diethylstilbestrol	1	carcinogenic to humans	carcinogenic to humans
Mercury and inorganic mercury compounds	3	not classifiable	not classifiable
Bis(chloromethyl)ether; chloromethyl methyl ether (technical-grade)	1	carcinogenic to humans	carcinogenic to humans
Chromium, metallic	3	not classifiable	not classifiable
Amaranth	3	not classifiable	not classifiable
5-Methylangelicin plus ultraviolet A radiation	3	not classifiable	carcinogenic to humans
Polymethylene polyphenyl isocyanate	3	not classifiable	not classifiable
Sulfur dioxide	3	not classifiable	not classifiable
ortho-Dichlorobenzene	3	not classifiable	not classifiable
2,5-Diaminotoluene	3	not classifiable	possibly carcinogenic
Lindane (see also Hexachlorocyclohexanes)	1	carcinogenic to humans	carcinogenic to humans
5-Chloro-ortho-toluidine	3	not classifiable	possibly carcinogenic
2,4-Xylidine	3	not classifiable	possibly carcinogenic
Glycidyl stearate	3	not classifiable	possibly carcinogenic
Hydrochlorothiazide	1	carcinogenic to humans	probably carcinogenic
Ethylenethiourea	3	not classifiable	possibly carcinogenic
Bromoform	3	not classifiable	possibly carcinogenic
Ciclosporin	1	carcinogenic to humans	carcinogenic to humans
Chloroethane	3	not classifiable	not classifiable
Vinylidene fluoride	3	not classifiable	not classifiable
3,3’,4,4’,5-Pentachlorobiphenyl (PCB-126)	1	carcinogenic to humans	carcinogenic to humans
Phenacetin	1	carcinogenic to humans	carcinogenic to humans
gamma-Butyrolactone	3	not classifiable	not classifiable
Disulfiram	3	not classifiable	not classifiable
Ethanol in alcoholic beverages	1	carcinogenic to humans	carcinogenic to humans
Chlorodifluoromethane	3	not classifiable	not classifiable
Eugenol	3	not classifiable	not classifiable
tert-Butyl alcohol	3	not classifiable	not classifiable
Erionite	1	carcinogenic to humans	carcinogenic to humans
Coal-tar pitch	1	carcinogenic to humans	carcinogenic to humans
2,5-Xylidine	3	not classifiable	possibly carcinogenic
Furfural	3	not classifiable	not classifiable
Rhodamine 6G	3	not classifiable	not classifiable
5-Nitro-ortho-toluidine	3	not classifiable	possibly carcinogenic
Dichloroacetylene	3	not classifiable	not classifiable
Pentachloroethane	3	not classifiable	not classifiable
Benzene	1	carcinogenic to humans	carcinogenic to humans
Nitrotoluenes	3	not classifiable	possibly carcinogenic
3,3'-Dimethoxybenzidine-4,4'-diisocyanate	3	not classifiable	i don't know
Plutonium	1	carcinogenic to humans	carcinogenic to humans
2,3,4,7,8-Pentachlorodibenzofuran	1	carcinogenic to humans	not classifiable
Hydrochloric acid	3	not classifiable	not classifiable
2-Chloro-1,1,1-trifluoroethane	3	not classifiable	not classifiable
1,2-Diamino-4-nitrobenzene	3	not classifiable	not classifiable
Shale oils	1	carcinogenic to humans	carcinogenic to humans
Silica, amorphous	3	not classifiable	not classifiable
Cadmium and cadmium compounds	1	carcinogenic to humans	carcinogenic to humans
Thorium-232 and its decay products	1	carcinogenic to humans	carcinogenic to humans
Arsenic and inorganic arsenic compounds	1	carcinogenic to humans	carcinogenic to humans
2-Amino-4-nitrophenol	3	not classifiable	not classifiable
Beryllium and beryllium compounds	1	carcinogenic to humans	carcinogenic to humans
Selenium and selenium compounds	3	not classifiable	not classifiable
2-Nitropyrene	3	not classifiable	possibly carcinogenic
N-Nitrosoproline	3	not classifiable	not classifiable
Hydrogen peroxide	3	not classifiable	not classifiable
5-Nitro-ortho-anisidine	3	not classifiable	possibly carcinogenic
Sodium chlorite	3	not classifiable	i don't know
Vinyl chloride	1	carcinogenic to humans	carcinogenic to humans
Acetaldehyde associated with consumption of alcoholic beverages	1	carcinogenic to humans	carcinogenic to humans
tert-Amyl methyl ether	3	not classifiable	not classifiable
Methylglyoxal	3	not classifiable	not classifiable
Crotonaldehyde	2B	possibly carcinogenic	possibly carcinogenic
1,8-Dinitropyrene	2B	possibly carcinogenic	probably carcinogenic
1,6-Dinitropyrene	2B	possibly carcinogenic	probably carcinogenic
Diphenylamine	2B	possibly carcinogenic	not classifiable
Modacrylic fibres	3	not classifiable	not classifiable
3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone	2B	possibly carcinogenic	possibly carcinogenic
MeIQx (2-Amino-3,8-dimethylimidazo[4,5-f]quinoxaline)	2B	possibly carcinogenic	possibly carcinogenic
Palygorskite (Attapulgite) (long fibres, > 5 micrometres)	2B	possibly carcinogenic	possibly carcinogenic
1,1,2-Trichloroethane	3	not classifiable	not classifiable
Phenyl glycidyl ether	2B	possibly carcinogenic	possibly carcinogenic
Metabisulfites	3	not classifiable	not classifiable
Potassium bromate	2B	possibly carcinogenic	possibly carcinogenic
Metronidazole	2B	possibly carcinogenic	possibly carcinogenic
Uranium, mixture of isotopes (see Radionuclides, alpha-particle-emitting, internally deposited)	1	carcinogenic to humans	carcinogenic to humans
Dacarbazine	2B	possibly carcinogenic	probably carcinogenic
Isophorone	2B	possibly carcinogenic	not classifiable
Isoprene	2B	possibly carcinogenic	possibly carcinogenic
1,4-Dioxane	2B	possibly carcinogenic	possibly carcinogenic
1,2-Diphenylhydrazine	2B	possibly carcinogenic	possibly carcinogenic
Mineral oils, highly-refined	3	not classifiable	not classifiable
N-Nitrosomethylvinylamine	2B	possibly carcinogenic	probably carcinogenic
Primidone	2B	possibly carcinogenic	possibly carcinogenic
Orthopaedic implants of complex composition and cardiac pacemakers	3	not classifiable	not classifiable
1,1,2,2-Tetrachloroethane	2B	possibly carcinogenic	possibly carcinogenic
β-Myrcene	2B	possibly carcinogenic	possibly carcinogenic
N-Methyl-N,4-dinitrosoaniline	3	not classifiable	possibly carcinogenic
Dichloroacetic acid	2B	possibly carcinogenic	possibly carcinogenic
Paint manufacture (occupational exposure in)	3	not classifiable	carcinogenic to humans
2-Nitropropane	2B	possibly carcinogenic	possibly carcinogenic
Phenobarbital	2B	possibly carcinogenic	possibly carcinogenic
Mitomycin C	2B	possibly carcinogenic	carcinogenic to humans
Griseofulvin	2B	possibly carcinogenic	possibly carcinogenic
Tetranitromethane	2B	possibly carcinogenic	not classifiable
Toxaphene (Polychlorinated camphenes)	2B	possibly carcinogenic	possibly carcinogenic
Indium tin oxide	2B	possibly carcinogenic	possibly carcinogenic
Nitrogen mustard N-oxide	2B	possibly carcinogenic	possibly carcinogenic
Panfuran S (containing dihydroxymethylfuratrizine)	2B	possibly carcinogenic	possibly carcinogenic
Other cobalt(II) compounds (not including Soluble cobalt(II) salts, Cobalt(II) oxide, Cobalt(II,III) oxide, and Cobalt(II) sulfide)	3	not classifiable	probably carcinogenic
Polychlorinated dibenzo-para-dioxins (other than 2,3,7,8-tetrachlorodibenzo-para-dioxin)	3	not classifiable	not classifiable
2-Methyl-1-nitroanthraquinone (uncertain purity)	2B	possibly carcinogenic	not classifiable
Chloroprene	2B	possibly carcinogenic	possibly carcinogenic
Bitumens, occupational exposure to straight-run bitumens and their emissions during road paving	2B	possibly carcinogenic	possibly carcinogenic
N,N-Dimethylacetamide	2B	possibly carcinogenic	possibly carcinogenic
Printing inks	3	not classifiable	not classifiable
Methylarsonic acid	2B	possibly carcinogenic	i don't know
1-Amino-2,4-dibromoanthraquinone	2B	possibly carcinogenic	not classifiable
Propylthiouracil	2B	possibly carcinogenic	possibly carcinogenic
Amsacrine	2B	possibly carcinogenic	probably carcinogenic
Proflavine salts	3	not classifiable	possibly carcinogenic
Trichlormethine (Trimustine hydrochloride)	2B	possibly carcinogenic	probably carcinogenic
Polychlorinated dibenzofurans (see 2,3,4,7,8-Pentachlorodibenzofuran)	3	not classifiable	possibly carcinogenic
Rock (stone) wool	3	not classifiable	possibly carcinogenic
Pulp and paper manufacture	3	not classifiable	carcinogenic to humans
4-Methylimidazole	2B	possibly carcinogenic	possibly carcinogenic
Leucomalachite green (see also Malachite green)	2B	possibly carcinogenic	possibly carcinogenic
1-Chloro-2-methylpropene	2B	possibly carcinogenic	not classifiable
Organic polymeric materials	3	not classifiable	i don't know
Anthraquinone	2B	possibly carcinogenic	possibly carcinogenic
Petroleum solvents	3	not classifiable	possibly carcinogenic
Merphalan	2B	possibly carcinogenic	carcinogenic to humans
SV40 polyomavirus	3	not classifiable	probably carcinogenic
Molybdenum trioxide	2B	possibly carcinogenic	possibly carcinogenic
Pentavalent antimony	3	not classifiable	possibly carcinogenic
Dimethyl hydrogen phosphite	2B	possibly carcinogenic	not classifiable
4,4'-Methylene bis(2-methylaniline)	2B	possibly carcinogenic	possibly carcinogenic
Carrageenan, degraded (Poligeenan)	2B	possibly carcinogenic	probably carcinogenic
Vanadium pentoxide	2B	possibly carcinogenic	possibly carcinogenic
N-[4-(5-Nitro-2-furyl)-2-thiazolyl]acetamide	2B	possibly carcinogenic	possibly carcinogenic
1,3-Dichloropropene (technical-grade)	2B	possibly carcinogenic	possibly carcinogenic
Silicone breast implants	3	not classifiable	not classifiable
Carbazole	2B	possibly carcinogenic	i don't know
Sodium ortho-phenylphenate	2B	possibly carcinogenic	possibly carcinogenic
Gentian violet (see also Leucogentian violet)	2B	possibly carcinogenic	possibly carcinogenic
2,6-Dimethylaniline (2,6-Xylidine)	2B	possibly carcinogenic	not classifiable
Carbon black	2B	possibly carcinogenic	possibly carcinogenic
N-Nitrososarcosine	2B	possibly carcinogenic	possibly carcinogenic
2,4,6-Trichlorophenol (see also Polychlorophenols)	2B	possibly carcinogenic	not classifiable
Tetrakis(hydroxymethyl)phosphonium salts	3	not classifiable	not classifiable
Titanium dioxide	2B	possibly carcinogenic	possibly carcinogenic
Cupferron	2B	possibly carcinogenic	possibly carcinogenic
Parasorbic acid	3	not classifiable	not classifiable
Isobutyl nitrite	2B	possibly carcinogenic	probably carcinogenic
2-Chloronitrobenzene	2B	possibly carcinogenic	not classifiable
Tea	3	not classifiable	not classifiable
Bromochloroacetic acid	2B	possibly carcinogenic	possibly carcinogenic
1,4-Dichloro-2-nitrobenzene	2B	possibly carcinogenic	not classifiable
Pulegone	2B	possibly carcinogenic	possibly carcinogenic
Methylthiouracil	2B	possibly carcinogenic	possibly carcinogenic
Carbon tetrachloride	2B	possibly carcinogenic	possibly carcinogenic
Cobalt(II) oxide	2B	possibly carcinogenic	possibly carcinogenic
Phenazopyridine hydrochloride	2B	possibly carcinogenic	possibly carcinogenic
Michler’s ketone [4,4´-Bis(dimethylamino)­benzophenone]	2B	possibly carcinogenic	possibly carcinogenic
Chloropropham	3	not classifiable	not classifiable
Parathion	2B	possibly carcinogenic	possibly carcinogenic
Dinitrosopentamethylenetetramine	3	not classifiable	probably carcinogenic
Nitrilotriacetic acid and its salts	2B	possibly carcinogenic	possibly carcinogenic
Auramine	2B	possibly carcinogenic	possibly carcinogenic
Benz[a]anthracene	2B	possibly carcinogenic	probably carcinogenic
4,4'-Thiodianiline	2B	possibly carcinogenic	possibly carcinogenic
4,4'-Methylenediphenyl diisocyanate	3	not classifiable	not classifiable
Aramite®	2B	possibly carcinogenic	not classifiable
meta-Cresidine	3	not classifiable	possibly carcinogenic
3-Chloro-2-methylpropene, technical grade	2B	possibly carcinogenic	possibly carcinogenic
Sulfites	3	not classifiable	i don't know
Ginkgo biloba extract	2B	possibly carcinogenic	possibly carcinogenic
Iron-dextran complex	2B	possibly carcinogenic	not classifiable
Kava extract	2B	possibly carcinogenic	not classifiable
CI Basic Red 9	2B	possibly carcinogenic	not classifiable
Triethanolamine	3	not classifiable	possibly carcinogenic
Ethyl acrylate	2B	possibly carcinogenic	possibly carcinogenic
Naphthalene	2B	possibly carcinogenic	possibly carcinogenic
Phenicarbazide	3	not classifiable	possibly carcinogenic
Thiouracil	2B	possibly carcinogenic	possibly carcinogenic
3,3'-Dichlorobenzidine	2B	possibly carcinogenic	possibly carcinogenic
Quinoline	2B	possibly carcinogenic	possibly carcinogenic
1-Hydroxyanthraquinone	2B	possibly carcinogenic	i don't know
Phenytoin	2B	possibly carcinogenic	carcinogenic to humans
beta-Propiolactone	2B	possibly carcinogenic	carcinogenic to humans
2,4-Hexadienal	2B	possibly carcinogenic	not classifiable
1,1-Dimethylhydrazine	2B	possibly carcinogenic	possibly carcinogenic
Azobenzene	3	not classifiable	possibly carcinogenic
Di(2-ethylhexyl) adipate	3	not classifiable	not classifiable
Chlordecone (Kepone)	2B	possibly carcinogenic	possibly carcinogenic
Acrylic acid	3	not classifiable	not classifiable
Ethionamide	3	not classifiable	possibly carcinogenic
Opisthorchis viverrini (infection with)	1	carcinogenic to humans	carcinogenic to humans
N-Nitrosodi-n-butylamine	2B	possibly carcinogenic	possibly carcinogenic
Paracetamol (Acetaminophen)	3	not classifiable	not classifiable
Ethylene oxide	1	carcinogenic to humans	carcinogenic to humans
Dimethylcarbamoyl chloride	2A	probably carcinogenic	probably carcinogenic
Schistosoma haematobium (infection with)	1	carcinogenic to humans	carcinogenic to humans
1-[(5-Nitrofurfurylidene)amino]-2-imidazolidinone	2B	possibly carcinogenic	possibly carcinogenic
Tetrabromobisphenol A	2A	probably carcinogenic	possibly carcinogenic
Dibenzo[a,e]fluoranthene	3	not classifiable	possibly carcinogenic
1,2-Dichloropropane	1	carcinogenic to humans	possibly carcinogenic
Diallate	3	not classifiable	possibly carcinogenic
4,4'-Dimethylangelicin plus ultraviolet A radiation	3	not classifiable	possibly carcinogenic
Trichloroethylene	1	carcinogenic to humans	carcinogenic to humans
Creosotes	2A	probably carcinogenic	probably carcinogenic
Medphalan	3	not classifiable	carcinogenic to humans
Acid mists, strong inorganic	1	carcinogenic to humans	carcinogenic to humans
Acheson process, occupational exposure associated with	1	carcinogenic to humans	carcinogenic to humans
Hycanthone mesylate	3	not classifiable	possibly carcinogenic
Dapsone	3	not classifiable	possibly carcinogenic
2-Nitrotoluene	2A	probably carcinogenic	possibly carcinogenic
Dihydroxymethylfuratrizine (see also Panfuran S)	3	not classifiable	not classifiable
Yellow OB	3	not classifiable	possibly carcinogenic
Furosemide (Frusemide)	3	not classifiable	not classifiable
Alcoholic beverages	1	carcinogenic to humans	carcinogenic to humans
Coal-tar distillation	1	carcinogenic to humans	carcinogenic to humans
Methyl methacrylate	3	not classifiable	not classifiable
Senkirkine	3	not classifiable	i don't know
Chloroquine	3	not classifiable	i don't know
Cobalt(II,III) oxide	3	not classifiable	possibly carcinogenic
ortho-Anisidine (see also ortho-Anisidine hydrochloride)	2A	probably carcinogenic	possibly carcinogenic
Isonicotinic acid hydrazide (Isoniazid)	3	not classifiable	probably carcinogenic
Aluminium production	1	carcinogenic to humans	carcinogenic to humans
Pentachlorophenol (see also Polychlorophenols)	1	carcinogenic to humans	probably carcinogenic
Rugulosin	3	not classifiable	not classifiable
Fast Green FCF	3	not classifiable	not classifiable
2-Naphthylamine	1	carcinogenic to humans	carcinogenic to humans
Aziridyl benzoquinone	3	not classifiable	probably carcinogenic
Slag wool	3	not classifiable	possibly carcinogenic
Areca nut	1	carcinogenic to humans	carcinogenic to humans
4-Aminobiphenyl	1	carcinogenic to humans	carcinogenic to humans
Cobalt(II) sulfide	3	not classifiable	not classifiable
Benzidine	1	carcinogenic to humans	carcinogenic to humans
meta-Dichlorobenzene	3	not classifiable	not classifiable
Methyleugenol	2A	probably carcinogenic	possibly carcinogenic
ortho-Nitroanisole	2A	probably carcinogenic	possibly carcinogenic
Malonaldehyde	3	not classifiable	not classifiable
Engine exhaust, diesel	1	carcinogenic to humans	carcinogenic to humans
Terpene polychlorinates (Strobane®)	3	not classifiable	possibly carcinogenic
Crude oil	3	not classifiable	not classifiable
Auramine production	1	carcinogenic to humans	carcinogenic to humans
Potassium bis(2-hydroxyethyl)dithiocarbamate	3	not classifiable	not classifiable
