statement	score	confidence	gemini_2_5_flash
Pronetalol hydrochloride	3	not classifiable	not classifiable
6-Mercaptopurine	3	not classifiable	carcinogenic to humans
Methyl bromide	3	not classifiable	not classifiable
Actinomycin D	3	not classifiable	probably carcinogenic
Methylene blue	3	not classifiable	possibly carcinogenic
Methyl iodide	3	not classifiable	not classifiable
Reserpine	3	not classifiable	possibly carcinogenic
Kojic acid	3	not classifiable	not classifiable
Bromoethane	3	not classifiable	probably carcinogenic
Acridine orange	3	not classifiable	not classifiable
5-Fluorouracil	3	not classifiable	probably carcinogenic
Glycidyl stearate	3	not classifiable	possibly carcinogenic
2,4,6-Tris(1-aziridinyl)-s-triazine	3	not classifiable	probably carcinogenic
Chromium, metallic	3	not classifiable	not classifiable
Mercury and inorganic mercury compounds	3	not classifiable	not classifiable
Chlorobenzilate	3	not classifiable	not classifiable
Piperonyl butoxide	3	not classifiable	not classifiable
4-Chloro-meta-phenylenediamine	3	not classifiable	possibly carcinogenic
Sulfur dioxide	3	not classifiable	not classifiable
Chloroethane	3	not classifiable	not classifiable
Bromoform	3	not classifiable	possibly carcinogenic
Chlorodifluoromethane	3	not classifiable	not classifiable
Light Green SF	3	not classifiable	not classifiable
Vinylidene fluoride	3	not classifiable	not classifiable
Fenvalerate	3	not classifiable	not classifiable
Cimetidine	3	not classifiable	not classifiable
tert-Butyl alcohol	3	not classifiable	not classifiable
Citrinin	3	not classifiable	not classifiable
D & C Red No. 9	3	not classifiable	not classifiable
Dichloroacetylene	3	not classifiable	not classifiable
N-Nitrosoproline	3	not classifiable	not classifiable
Spironolactone	3	not classifiable	possibly carcinogenic
Trichlorfon	3	not classifiable	possibly carcinogenic
Pentachloroethane	3	not classifiable	possibly carcinogenic
Apholate	3	not classifiable	possibly carcinogenic
Kaempferol	3	not classifiable	not classifiable
Hydrogen peroxide	3	not classifiable	not classifiable
Silica, amorphous	3	not classifiable	not classifiable
Hydrochloric acid	3	not classifiable	not classifiable
Angelicin plus ultraviolet A radiation	3	not classifiable	probably carcinogenic
CI Acid Orange 20	3	not classifiable	not classifiable
Selenium and selenium compounds	3	not classifiable	not classifiable
Permethrin	3	not classifiable	probably carcinogenic
Deltamethrin	3	not classifiable	possibly carcinogenic
Phenylbutazone	3	not classifiable	possibly carcinogenic
Ethylene	3	not classifiable	not classifiable
2-Chloro-1,1,1-trifluoroethane	3	not classifiable	not classifiable
Sodium chlorite	3	not classifiable	not classifiable
Clomiphene citrate	3	not classifiable	possibly carcinogenic
Prednisone	3	not classifiable	probably carcinogenic
Methylglyoxal	3	not classifiable	probably carcinogenic
Methyl chloride	3	not classifiable	not classifiable
Acrylic acid	3	not classifiable	not classifiable
Sulfamethoxazole	3	not classifiable	not classifiable
1,4-Diamino-2-nitrobenzene	3	not classifiable	not classifiable
Chrysoidine	3	not classifiable	possibly carcinogenic
Dibenzo[a,e]fluoranthene	3	not classifiable	possibly carcinogenic
2-Nitropyrene	3	not classifiable	possibly carcinogenic
Ethionamide	3	not classifiable	possibly carcinogenic
1,1,2-Trichloroethane	3	not classifiable	not classifiable
Phenyl glycidyl ether	2B	possibly carcinogenic	possibly carcinogenic
Potassium bromate	2B	possibly carcinogenic	possibly carcinogenic
Acid mists, strong inorganic	1	carcinogenic to humans	carcinogenic to humans
Alcoholic beverages	1	carcinogenic to humans	carcinogenic to humans
Dihydroxymethylfuratrizine (see also Panfuran S)	3	not classifiable	not classifiable
Isoprene	2B	possibly carcinogenic	possibly carcinogenic
Creosotes	2A	probably carcinogenic	probably carcinogenic
Acheson process, occupational exposure associated with	1	carcinogenic to humans	carcinogenic to humans
2-Nitrotoluene	2A	probably carcinogenic	possibly carcinogenic
β-Myrcene	2B	possibly carcinogenic	possibly carcinogenic
1,2-Diphenylhydrazine	2B	possibly carcinogenic	possibly carcinogenic
1,1,2,2-Tetrachloroethane	2B	possibly carcinogenic	possibly carcinogenic
Isophorone	2B	possibly carcinogenic	possibly carcinogenic
1,4-Dioxane	2B	possibly carcinogenic	possibly carcinogenic
ortho-Anisidine (see also ortho-Anisidine hydrochloride)	2A	probably carcinogenic	possibly carcinogenic
Aluminium production	1	carcinogenic to humans	carcinogenic to humans
ortho-Nitroanisole	2A	probably carcinogenic	possibly carcinogenic
Engine exhaust, diesel	1	carcinogenic to humans	carcinogenic to humans
2-Nitropropane	2B	possibly carcinogenic	possibly carcinogenic
Primidone	2B	possibly carcinogenic	possibly carcinogenic
Areca nut	1	carcinogenic to humans	carcinogenic to humans
Dichloroacetic acid	2B	possibly carcinogenic	possibly carcinogenic
Methyleugenol	2A	probably carcinogenic	possibly carcinogenic
4-Chloro-ortho-toluidine	2A	probably carcinogenic	probably carcinogenic
Auramine production	1	carcinogenic to humans	carcinogenic to humans
1,2,3-Trichloropropane	2A	probably carcinogenic	probably carcinogenic
Griseofulvin	2B	possibly carcinogenic	possibly carcinogenic
Styrene-7,8-oxide	2A	probably carcinogenic	probably carcinogenic
Nitrogen mustard N-oxide	2B	possibly carcinogenic	possibly carcinogenic
Automotive gasoline (see also Gasoline engine exhaust, and Aviation gasoline)	1	carcinogenic to humans	possibly carcinogenic
Chloroprene	2B	possibly carcinogenic	possibly carcinogenic
Betel quid with tobacco	1	carcinogenic to humans	carcinogenic to humans
Bitumens, occupational exposure to straight-run bitumens and their emissions during road paving	2B	possibly carcinogenic	probably carcinogenic
Toxaphene (Polychlorinated camphenes)	2B	possibly carcinogenic	possibly carcinogenic
N,N-Dimethylacetamide	2B	possibly carcinogenic	possibly carcinogenic
Aloe vera, whole leaf extract	2B	possibly carcinogenic	possibly carcinogenic
Benzidine, dyes metabolized to	1	carcinogenic to humans	carcinogenic to humans
1-Amino-2,4-dibromoanthraquinone	2B	possibly carcinogenic	not classifiable
Betel quid without tobacco	1	carcinogenic to humans	carcinogenic to humans
Panfuran S (containing dihydroxymethylfuratrizine)	2B	possibly carcinogenic	possibly carcinogenic
Schistosoma japonicum (infection with)	2B	possibly carcinogenic	possibly carcinogenic
Trichlormethine (Trimustine hydrochloride)	2B	possibly carcinogenic	probably carcinogenic
Methylarsonic acid	2B	possibly carcinogenic	not classifiable
4,4'-Methylene bis(2-methylaniline)	2B	possibly carcinogenic	possibly carcinogenic
4-Methylimidazole	2B	possibly carcinogenic	possibly carcinogenic
2-Methyl-1-nitroanthraquinone (uncertain purity)	2B	possibly carcinogenic	possibly carcinogenic
Coke production	1	carcinogenic to humans	carcinogenic to humans
BK polyomavirus (BKV)	2B	possibly carcinogenic	not classifiable
Coal, indoor emissions from household combustion of	1	carcinogenic to humans	carcinogenic to humans
1-Hydroxyanthraquinone	2B	possibly carcinogenic	possibly carcinogenic
Bitumens, occupational exposure to hard bitumens and their emissions during mastic asphalt work	2B	possibly carcinogenic	probably carcinogenic
Leucomalachite green (see also Malachite green)	2B	possibly carcinogenic	possibly carcinogenic
Anthraquinone	2B	possibly carcinogenic	possibly carcinogenic
Coal gasification	1	carcinogenic to humans	carcinogenic to humans
Epstein-Barr virus	1	carcinogenic to humans	carcinogenic to humans
Dimethyl hydrogen phosphite	2B	possibly carcinogenic	not classifiable
Vanadium pentoxide	2B	possibly carcinogenic	possibly carcinogenic
Carbazole	2B	possibly carcinogenic	possibly carcinogenic
Molybdenum trioxide	2B	possibly carcinogenic	possibly carcinogenic
Estrogen-progestogen menopausal therapy (combined)	1	carcinogenic to humans	carcinogenic to humans
Sodium ortho-phenylphenate	2B	possibly carcinogenic	possibly carcinogenic
Carpentry and joinery	2B	possibly carcinogenic	carcinogenic to humans
Bracken fern	2B	possibly carcinogenic	possibly carcinogenic
Estrogen-progestogen oral contraceptives (combined)	1	carcinogenic to humans	carcinogenic to humans
2,6-Dimethylaniline (2,6-Xylidine)	2B	possibly carcinogenic	possibly carcinogenic
Firefighter (occupational exposure as a)	1	carcinogenic to humans	carcinogenic to humans
Estrogen therapy, postmenopausal	1	carcinogenic to humans	carcinogenic to humans
Chlorinated paraffins of average carbon chain length C12 and average degree of chlorination approximately 60%	2B	possibly carcinogenic	possibly carcinogenic
Cobalt(II) oxide	2B	possibly carcinogenic	possibly carcinogenic
Diesel fuel, marine	2B	possibly carcinogenic	not classifiable
5-Methylangelicin plus ultraviolet A radiation	3	not classifiable	i don't know
N-Nitrososarcosine	2B	possibly carcinogenic	possibly carcinogenic
2,4,6-Trichlorophenol (see also Polychlorophenols)	2B	possibly carcinogenic	not classifiable
Arecoline	2B	possibly carcinogenic	possibly carcinogenic
Carbon black	2B	possibly carcinogenic	possibly carcinogenic
Titanium dioxide	2B	possibly carcinogenic	possibly carcinogenic
2-Chloronitrobenzene	2B	possibly carcinogenic	not classifiable
Dry cleaning (occupational exposures in)	2B	possibly carcinogenic	probably carcinogenic
Fission products, including strontium-90	1	carcinogenic to humans	carcinogenic to humans
Phenazopyridine hydrochloride	2B	possibly carcinogenic	possibly carcinogenic
